|OPEN|HIGH|LOW|CLOSE|VOLUME|CURRENCY|INDEX|symbol_x|period_x|cashAndCashEquivalents|shortTermInvestments|cashAndShortTermInvestments|netReceivables|inventory_x|otherCurrentAssets|totalCurrentAssets|propertyPlantEquipmentNet|goodwill|intangibleAssets|goodwillAndIntangibleAssets|longTermInvestments|taxAssets|otherNonCurrentAssets|totalNonCurrentAssets|otherAssets|totalAssets|accountPayables|shortTermDebt|taxPayables|deferredRevenue|otherCurrentLiabilities|totalCurrentLiabilities|longTermDebt|deferredRevenueNonCurrent|deferredTaxLiabilitiesNonCurrent|otherNonCurrentLiabilities|totalNonCurrentLiabilities|otherLiabilities|totalLiabilities|commonStock|retainedEarnings|accumulatedOtherComprehensiveIncomeLoss|othertotalStockholdersEquity|totalStockholdersEquity|totalLiabilitiesAndStockholdersEquity|totalInvestments|totalDebt|netDebt|Date_x|Start Date_x|End Date_x|symbol_y|period_y|netIncome_x|depreciationAndAmortization_x|deferredIncomeTax|stockBasedCompensation|changeInWorkingCapital|accountsReceivables|inventory_y|accountsPayables|otherWorkingCapital|otherNonCashItems|netCashProvidedByOperatingActivities|investmentsInPropertyPlantAndEquipment|acquisitionsNet|purchasesOfInvestments|salesMaturitiesOfInvestments|otherInvestingActivites|netCashUsedForInvestingActivites|debtRepayment|commonStockIssued|commonStockRepurchased|dividendsPaid|otherFinancingActivites|netCashUsedProvidedByFinancingActivities|effectOfForexChangesOnCash|netChangeInCash|cashAtEndOfPeriod|cashAtBeginningOfPeriod|operatingCashFlow|capitalExpenditure|freeCashFlow|Date_y|Start Date_y|End Date_y|symbol|period|revenue|costOfRevenue|grossProfit|grossProfitRatio|researchAndDevelopmentExpenses|generalAndAdministrativeExpenses|sellingAndMarketingExpenses|otherExpenses|operatingExpenses|costAndExpenses|interestExpense|depreciationAndAmortization_y|ebitda|ebitdaratio|operatingIncome|operatingIncomeRatio|totalOtherIncomeExpensesNet|incomeBeforeTax|incomeBeforeTaxRatio|incomeTaxExpense|netIncome_y|netIncomeRatio|eps|epsdiluted|weightedAverageShsOut|weightedAverageShsOutDil|Date|Start Date|End Date
2012-01-03|43.22|43.7|41.6|42.07|10725920|USD|0|EXC|FY|1016000000.0|432000000.0|1448000000.0|1613000000.0|81000000.0|2347000000.0|5489000000.0|32570000000.0|2625000000.0|0.0|2625000000.0|751000000.0|97000000.0|16185000000.0|49603000000.0|14408000000.0|55092000000.0|1444000000.0|828000000.0|297000000.0|97000000.0|2420000000.0|4989000000.0|11799000000.0|0.0|0.0|1268000000.0|13067000000.0|22651000000.0|40707000000.0|9107000000.0|10055000000.0|-2450000000.0|0.0|14385000000.0|55092000000.0|1183000000.0|12627000000.0|11611000000.0|2011-12-31|2011-12-31|2012-03-31|EXC|FY|606000000.0|602000000.0|-449000000.0|12000000.0|-810000000.0|54000000.0|-14000000.0|146000000.0|500000000.0|0.0|1936000000.0|-1070000000.0|0.0|-3043000000.0|3019000000.0|522000000.0|-572000000.0|-786000000.0|0.0|1071000000.0|-349000000.0|-1355000000.0|-1419000000.0|0.0|-55000000.0|1016000000.0|1071000000.0|1936000000.0|1070000000.0|866000000.0|2011-12-31|2011-12-31|2012-03-31|EXC|FY|3991000000.0|382000000.0|3609000000.0|0.9042846404409922|0.0|0.0|0.0|1361000000.0|1361000000.0|2928000000.0|175000000.0|602000000.0|1665000000.0|0.417188674518|1063000000.0|0.266349285893|183000000.0|1029000000.0|0.25783011776500003|423000000.0|606000000.0|0.151841643698|0.9|0.91|663000000.0|665000000.0|2011-12-31|2011-12-31|2012-03-31
2012-01-04|41.88|41.97|41.34|41.39|7099622|USD|1|EXC|FY|1016000000.0|432000000.0|1448000000.0|1613000000.0|81000000.0|2347000000.0|5489000000.0|32570000000.0|2625000000.0|0.0|2625000000.0|751000000.0|97000000.0|16185000000.0|49603000000.0|14408000000.0|55092000000.0|1444000000.0|828000000.0|297000000.0|97000000.0|2420000000.0|4989000000.0|11799000000.0|0.0|0.0|1268000000.0|13067000000.0|22651000000.0|40707000000.0|9107000000.0|10055000000.0|-2450000000.0|0.0|14385000000.0|55092000000.0|1183000000.0|12627000000.0|11611000000.0|2011-12-31|2011-12-31|2012-03-31|EXC|FY|606000000.0|602000000.0|-449000000.0|12000000.0|-810000000.0|54000000.0|-14000000.0|146000000.0|500000000.0|0.0|1936000000.0|-1070000000.0|0.0|-3043000000.0|3019000000.0|522000000.0|-572000000.0|-786000000.0|0.0|1071000000.0|-349000000.0|-1355000000.0|-1419000000.0|0.0|-55000000.0|1016000000.0|1071000000.0|1936000000.0|1070000000.0|866000000.0|2011-12-31|2011-12-31|2012-03-31|EXC|FY|3991000000.0|382000000.0|3609000000.0|0.9042846404409922|0.0|0.0|0.0|1361000000.0|1361000000.0|2928000000.0|175000000.0|602000000.0|1665000000.0|0.417188674518|1063000000.0|0.266349285893|183000000.0|1029000000.0|0.25783011776500003|423000000.0|606000000.0|0.151841643698|0.9|0.91|663000000.0|665000000.0|2011-12-31|2011-12-31|2012-03-31
2012-01-05|41.29|41.51|40.88|41.25|7844201|USD|2|EXC|FY|1016000000.0|432000000.0|1448000000.0|1613000000.0|81000000.0|2347000000.0|5489000000.0|32570000000.0|2625000000.0|0.0|2625000000.0|751000000.0|97000000.0|16185000000.0|49603000000.0|14408000000.0|55092000000.0|1444000000.0|828000000.0|297000000.0|97000000.0|2420000000.0|4989000000.0|11799000000.0|0.0|0.0|1268000000.0|13067000000.0|22651000000.0|40707000000.0|9107000000.0|10055000000.0|-2450000000.0|0.0|14385000000.0|55092000000.0|1183000000.0|12627000000.0|11611000000.0|2011-12-31|2011-12-31|2012-03-31|EXC|FY|606000000.0|602000000.0|-449000000.0|12000000.0|-810000000.0|54000000.0|-14000000.0|146000000.0|500000000.0|0.0|1936000000.0|-1070000000.0|0.0|-3043000000.0|3019000000.0|522000000.0|-572000000.0|-786000000.0|0.0|1071000000.0|-349000000.0|-1355000000.0|-1419000000.0|0.0|-55000000.0|1016000000.0|1071000000.0|1936000000.0|1070000000.0|866000000.0|2011-12-31|2011-12-31|2012-03-31|EXC|FY|3991000000.0|382000000.0|3609000000.0|0.9042846404409922|0.0|0.0|0.0|1361000000.0|1361000000.0|2928000000.0|175000000.0|602000000.0|1665000000.0|0.417188674518|1063000000.0|0.266349285893|183000000.0|1029000000.0|0.25783011776500003|423000000.0|606000000.0|0.151841643698|0.9|0.91|663000000.0|665000000.0|2011-12-31|2011-12-31|2012-03-31
2012-01-06|41.38|41.38|40.9|41.09|5332782|USD|3|EXC|FY|1016000000.0|432000000.0|1448000000.0|1613000000.0|81000000.0|2347000000.0|5489000000.0|32570000000.0|2625000000.0|0.0|2625000000.0|751000000.0|97000000.0|16185000000.0|49603000000.0|14408000000.0|55092000000.0|1444000000.0|828000000.0|297000000.0|97000000.0|2420000000.0|4989000000.0|11799000000.0|0.0|0.0|1268000000.0|13067000000.0|22651000000.0|40707000000.0|9107000000.0|10055000000.0|-2450000000.0|0.0|14385000000.0|55092000000.0|1183000000.0|12627000000.0|11611000000.0|2011-12-31|2011-12-31|2012-03-31|EXC|FY|606000000.0|602000000.0|-449000000.0|12000000.0|-810000000.0|54000000.0|-14000000.0|146000000.0|500000000.0|0.0|1936000000.0|-1070000000.0|0.0|-3043000000.0|3019000000.0|522000000.0|-572000000.0|-786000000.0|0.0|1071000000.0|-349000000.0|-1355000000.0|-1419000000.0|0.0|-55000000.0|1016000000.0|1071000000.0|1936000000.0|1070000000.0|866000000.0|2011-12-31|2011-12-31|2012-03-31|EXC|FY|3991000000.0|382000000.0|3609000000.0|0.9042846404409922|0.0|0.0|0.0|1361000000.0|1361000000.0|2928000000.0|175000000.0|602000000.0|1665000000.0|0.417188674518|1063000000.0|0.266349285893|183000000.0|1029000000.0|0.25783011776500003|423000000.0|606000000.0|0.151841643698|0.9|0.91|663000000.0|665000000.0|2011-12-31|2011-12-31|2012-03-31
2012-01-09|41.11|41.54|41.0|41.4|10554989|USD|4|EXC|FY|1016000000.0|432000000.0|1448000000.0|1613000000.0|81000000.0|2347000000.0|5489000000.0|32570000000.0|2625000000.0|0.0|2625000000.0|751000000.0|97000000.0|16185000000.0|49603000000.0|14408000000.0|55092000000.0|1444000000.0|828000000.0|297000000.0|97000000.0|2420000000.0|4989000000.0|11799000000.0|0.0|0.0|1268000000.0|13067000000.0|22651000000.0|40707000000.0|9107000000.0|10055000000.0|-2450000000.0|0.0|14385000000.0|55092000000.0|1183000000.0|12627000000.0|11611000000.0|2011-12-31|2011-12-31|2012-03-31|EXC|FY|606000000.0|602000000.0|-449000000.0|12000000.0|-810000000.0|54000000.0|-14000000.0|146000000.0|500000000.0|0.0|1936000000.0|-1070000000.0|0.0|-3043000000.0|3019000000.0|522000000.0|-572000000.0|-786000000.0|0.0|1071000000.0|-349000000.0|-1355000000.0|-1419000000.0|0.0|-55000000.0|1016000000.0|1071000000.0|1936000000.0|1070000000.0|866000000.0|2011-12-31|2011-12-31|2012-03-31|EXC|FY|3991000000.0|382000000.0|3609000000.0|0.9042846404409922|0.0|0.0|0.0|1361000000.0|1361000000.0|2928000000.0|175000000.0|602000000.0|1665000000.0|0.417188674518|1063000000.0|0.266349285893|183000000.0|1029000000.0|0.25783011776500003|423000000.0|606000000.0|0.151841643698|0.9|0.91|663000000.0|665000000.0|2011-12-31|2011-12-31|2012-03-31
2012-01-10|41.64|41.75|41.09|41.12|6515600|USD|5|EXC|FY|1016000000.0|432000000.0|1448000000.0|1613000000.0|81000000.0|2347000000.0|5489000000.0|32570000000.0|2625000000.0|0.0|2625000000.0|751000000.0|97000000.0|16185000000.0|49603000000.0|14408000000.0|55092000000.0|1444000000.0|828000000.0|297000000.0|97000000.0|2420000000.0|4989000000.0|11799000000.0|0.0|0.0|1268000000.0|13067000000.0|22651000000.0|40707000000.0|9107000000.0|10055000000.0|-2450000000.0|0.0|14385000000.0|55092000000.0|1183000000.0|12627000000.0|11611000000.0|2011-12-31|2011-12-31|2012-03-31|EXC|FY|606000000.0|602000000.0|-449000000.0|12000000.0|-810000000.0|54000000.0|-14000000.0|146000000.0|500000000.0|0.0|1936000000.0|-1070000000.0|0.0|-3043000000.0|3019000000.0|522000000.0|-572000000.0|-786000000.0|0.0|1071000000.0|-349000000.0|-1355000000.0|-1419000000.0|0.0|-55000000.0|1016000000.0|1071000000.0|1936000000.0|1070000000.0|866000000.0|2011-12-31|2011-12-31|2012-03-31|EXC|FY|3991000000.0|382000000.0|3609000000.0|0.9042846404409922|0.0|0.0|0.0|1361000000.0|1361000000.0|2928000000.0|175000000.0|602000000.0|1665000000.0|0.417188674518|1063000000.0|0.266349285893|183000000.0|1029000000.0|0.25783011776500003|423000000.0|606000000.0|0.151841643698|0.9|0.91|663000000.0|665000000.0|2011-12-31|2011-12-31|2012-03-31
2012-01-11|41.07|41.17|40.41|40.5|10513352|USD|6|EXC|FY|1016000000.0|432000000.0|1448000000.0|1613000000.0|81000000.0|2347000000.0|5489000000.0|32570000000.0|2625000000.0|0.0|2625000000.0|751000000.0|97000000.0|16185000000.0|49603000000.0|14408000000.0|55092000000.0|1444000000.0|828000000.0|297000000.0|97000000.0|2420000000.0|4989000000.0|11799000000.0|0.0|0.0|1268000000.0|13067000000.0|22651000000.0|40707000000.0|9107000000.0|10055000000.0|-2450000000.0|0.0|14385000000.0|55092000000.0|1183000000.0|12627000000.0|11611000000.0|2011-12-31|2011-12-31|2012-03-31|EXC|FY|606000000.0|602000000.0|-449000000.0|12000000.0|-810000000.0|54000000.0|-14000000.0|146000000.0|500000000.0|0.0|1936000000.0|-1070000000.0|0.0|-3043000000.0|3019000000.0|522000000.0|-572000000.0|-786000000.0|0.0|1071000000.0|-349000000.0|-1355000000.0|-1419000000.0|0.0|-55000000.0|1016000000.0|1071000000.0|1936000000.0|1070000000.0|866000000.0|2011-12-31|2011-12-31|2012-03-31|EXC|FY|3991000000.0|382000000.0|3609000000.0|0.9042846404409922|0.0|0.0|0.0|1361000000.0|1361000000.0|2928000000.0|175000000.0|602000000.0|1665000000.0|0.417188674518|1063000000.0|0.266349285893|183000000.0|1029000000.0|0.25783011776500003|423000000.0|606000000.0|0.151841643698|0.9|0.91|663000000.0|665000000.0|2011-12-31|2011-12-31|2012-03-31
2012-01-12|40.65|40.75|40.02|40.18|8359357|USD|7|EXC|FY|1016000000.0|432000000.0|1448000000.0|1613000000.0|81000000.0|2347000000.0|5489000000.0|32570000000.0|2625000000.0|0.0|2625000000.0|751000000.0|97000000.0|16185000000.0|49603000000.0|14408000000.0|55092000000.0|1444000000.0|828000000.0|297000000.0|97000000.0|2420000000.0|4989000000.0|11799000000.0|0.0|0.0|1268000000.0|13067000000.0|22651000000.0|40707000000.0|9107000000.0|10055000000.0|-2450000000.0|0.0|14385000000.0|55092000000.0|1183000000.0|12627000000.0|11611000000.0|2011-12-31|2011-12-31|2012-03-31|EXC|FY|606000000.0|602000000.0|-449000000.0|12000000.0|-810000000.0|54000000.0|-14000000.0|146000000.0|500000000.0|0.0|1936000000.0|-1070000000.0|0.0|-3043000000.0|3019000000.0|522000000.0|-572000000.0|-786000000.0|0.0|1071000000.0|-349000000.0|-1355000000.0|-1419000000.0|0.0|-55000000.0|1016000000.0|1071000000.0|1936000000.0|1070000000.0|866000000.0|2011-12-31|2011-12-31|2012-03-31|EXC|FY|3991000000.0|382000000.0|3609000000.0|0.9042846404409922|0.0|0.0|0.0|1361000000.0|1361000000.0|2928000000.0|175000000.0|602000000.0|1665000000.0|0.417188674518|1063000000.0|0.266349285893|183000000.0|1029000000.0|0.25783011776500003|423000000.0|606000000.0|0.151841643698|0.9|0.91|663000000.0|665000000.0|2011-12-31|2011-12-31|2012-03-31
2012-01-13|40.02|40.05|39.63|39.74|9318484|USD|8|EXC|FY|1016000000.0|432000000.0|1448000000.0|1613000000.0|81000000.0|2347000000.0|5489000000.0|32570000000.0|2625000000.0|0.0|2625000000.0|751000000.0|97000000.0|16185000000.0|49603000000.0|14408000000.0|55092000000.0|1444000000.0|828000000.0|297000000.0|97000000.0|2420000000.0|4989000000.0|11799000000.0|0.0|0.0|1268000000.0|13067000000.0|22651000000.0|40707000000.0|9107000000.0|10055000000.0|-2450000000.0|0.0|14385000000.0|55092000000.0|1183000000.0|12627000000.0|11611000000.0|2011-12-31|2011-12-31|2012-03-31|EXC|FY|606000000.0|602000000.0|-449000000.0|12000000.0|-810000000.0|54000000.0|-14000000.0|146000000.0|500000000.0|0.0|1936000000.0|-1070000000.0|0.0|-3043000000.0|3019000000.0|522000000.0|-572000000.0|-786000000.0|0.0|1071000000.0|-349000000.0|-1355000000.0|-1419000000.0|0.0|-55000000.0|1016000000.0|1071000000.0|1936000000.0|1070000000.0|866000000.0|2011-12-31|2011-12-31|2012-03-31|EXC|FY|3991000000.0|382000000.0|3609000000.0|0.9042846404409922|0.0|0.0|0.0|1361000000.0|1361000000.0|2928000000.0|175000000.0|602000000.0|1665000000.0|0.417188674518|1063000000.0|0.266349285893|183000000.0|1029000000.0|0.25783011776500003|423000000.0|606000000.0|0.151841643698|0.9|0.91|663000000.0|665000000.0|2011-12-31|2011-12-31|2012-03-31
2012-01-17|40.29|40.4|39.45|39.55|7822891|USD|9|EXC|FY|1016000000.0|432000000.0|1448000000.0|1613000000.0|81000000.0|2347000000.0|5489000000.0|32570000000.0|2625000000.0|0.0|2625000000.0|751000000.0|97000000.0|16185000000.0|49603000000.0|14408000000.0|55092000000.0|1444000000.0|828000000.0|297000000.0|97000000.0|2420000000.0|4989000000.0|11799000000.0|0.0|0.0|1268000000.0|13067000000.0|22651000000.0|40707000000.0|9107000000.0|10055000000.0|-2450000000.0|0.0|14385000000.0|55092000000.0|1183000000.0|12627000000.0|11611000000.0|2011-12-31|2011-12-31|2012-03-31|EXC|FY|606000000.0|602000000.0|-449000000.0|12000000.0|-810000000.0|54000000.0|-14000000.0|146000000.0|500000000.0|0.0|1936000000.0|-1070000000.0|0.0|-3043000000.0|3019000000.0|522000000.0|-572000000.0|-786000000.0|0.0|1071000000.0|-349000000.0|-1355000000.0|-1419000000.0|0.0|-55000000.0|1016000000.0|1071000000.0|1936000000.0|1070000000.0|866000000.0|2011-12-31|2011-12-31|2012-03-31|EXC|FY|3991000000.0|382000000.0|3609000000.0|0.9042846404409922|0.0|0.0|0.0|1361000000.0|1361000000.0|2928000000.0|175000000.0|602000000.0|1665000000.0|0.417188674518|1063000000.0|0.266349285893|183000000.0|1029000000.0|0.25783011776500003|423000000.0|606000000.0|0.151841643698|0.9|0.91|663000000.0|665000000.0|2011-12-31|2011-12-31|2012-03-31
