|OPEN|HIGH|LOW|CLOSE|VOLUME|CURRENCY|INDEX|symbol_x|period_x|cashAndCashEquivalents|shortTermInvestments|cashAndShortTermInvestments|netReceivables|inventory_x|otherCurrentAssets|totalCurrentAssets|propertyPlantEquipmentNet|goodwill|intangibleAssets|goodwillAndIntangibleAssets|longTermInvestments|taxAssets|otherNonCurrentAssets|totalNonCurrentAssets|otherAssets|totalAssets|accountPayables|shortTermDebt|taxPayables|deferredRevenue|otherCurrentLiabilities|totalCurrentLiabilities|longTermDebt|deferredRevenueNonCurrent|deferredTaxLiabilitiesNonCurrent|otherNonCurrentLiabilities|totalNonCurrentLiabilities|otherLiabilities|totalLiabilities|commonStock|retainedEarnings|accumulatedOtherComprehensiveIncomeLoss|othertotalStockholdersEquity|totalStockholdersEquity|totalLiabilitiesAndStockholdersEquity|totalInvestments|totalDebt|netDebt|Date_x|Start Date_x|End Date_x|symbol_y|period_y|netIncome_x|depreciationAndAmortization_x|deferredIncomeTax|stockBasedCompensation|changeInWorkingCapital|accountsReceivables|inventory_y|accountsPayables|otherWorkingCapital|otherNonCashItems|netCashProvidedByOperatingActivities|investmentsInPropertyPlantAndEquipment|acquisitionsNet|purchasesOfInvestments|salesMaturitiesOfInvestments|otherInvestingActivites|netCashUsedForInvestingActivites|debtRepayment|commonStockIssued|commonStockRepurchased|dividendsPaid|otherFinancingActivites|netCashUsedProvidedByFinancingActivities|effectOfForexChangesOnCash|netChangeInCash|cashAtEndOfPeriod|cashAtBeginningOfPeriod|operatingCashFlow|capitalExpenditure|freeCashFlow|Date_y|Start Date_y|End Date_y|symbol|period|revenue|costOfRevenue|grossProfit|grossProfitRatio|researchAndDevelopmentExpenses|generalAndAdministrativeExpenses|sellingAndMarketingExpenses|otherExpenses|operatingExpenses|costAndExpenses|interestExpense|depreciationAndAmortization_y|ebitda|ebitdaratio|operatingIncome|operatingIncomeRatio|totalOtherIncomeExpensesNet|incomeBeforeTax|incomeBeforeTaxRatio|incomeTaxExpense|netIncome_y|netIncomeRatio|eps|epsdiluted|weightedAverageShsOut|weightedAverageShsOutDil|Date|Start Date|End Date
2012-01-03|24.83|24.9|24.34|24.39|8773241|USD|0|MDLZ|FY|1974000000.0|0.0|1974000000.0|0.0|5706000000.0|8522000000.0|16202000000.0|13813000000.0|37297000000.0|25186000000.0|62483000000.0|0.0|912000000.0|427000000.0|77635000000.0|1339000000.0|93837000000.0|5525000000.0|3654000000.0|0.0|912000000.0|9266000000.0|18445000000.0|23095000000.0|0.0|6738000000.0|3396000000.0|33229000000.0|6946000000.0|58620000000.0|1996537778.0|18012000000.0|-6637000000.0|21845462222.0|35217000000.0|93837000000.0|0.0|26749000000.0|24775000000.0|2011-12-31|2011-12-31|2012-03-31|MDLZ|FY|850000000.0|368000000.0|-78000000.0|44000000.0|788000000.0|322000000.0|632000000.0|361000000.0|-2243000000.0|0.0|2855000000.0|-490000000.0|0.0|0.0|0.0|6000000.0|-484000000.0|-1104000000.0|0.0|2000000.0|-508000000.0|-722000000.0|-2332000000.0|-41000000.0|-2000000.0|1974000000.0|1976000000.0|2855000000.0|490000000.0|2365000000.0|2011-12-31|2011-12-31|2012-03-31|MDLZ|FY|14688000000.0|9795000000.0|4893000000.0|0.33312908496732024|702000000.0|3333000000.0|0.0|573000000.0|4088000000.0|13883000000.0|573000000.0|368000000.0|1875000000.0|0.127655228758|1507000000.0|0.102600762527|0.0|934000000.0|0.0635893246187|92000000.0|830000000.0|0.056508714596899996|0.47|0.47|1765000000.0|1772000000.0|2011-12-31|2011-12-31|2012-03-31
2012-01-04|24.44|24.54|24.32|24.46|7336550|USD|1|MDLZ|FY|1974000000.0|0.0|1974000000.0|0.0|5706000000.0|8522000000.0|16202000000.0|13813000000.0|37297000000.0|25186000000.0|62483000000.0|0.0|912000000.0|427000000.0|77635000000.0|1339000000.0|93837000000.0|5525000000.0|3654000000.0|0.0|912000000.0|9266000000.0|18445000000.0|23095000000.0|0.0|6738000000.0|3396000000.0|33229000000.0|6946000000.0|58620000000.0|1996537778.0|18012000000.0|-6637000000.0|21845462222.0|35217000000.0|93837000000.0|0.0|26749000000.0|24775000000.0|2011-12-31|2011-12-31|2012-03-31|MDLZ|FY|850000000.0|368000000.0|-78000000.0|44000000.0|788000000.0|322000000.0|632000000.0|361000000.0|-2243000000.0|0.0|2855000000.0|-490000000.0|0.0|0.0|0.0|6000000.0|-484000000.0|-1104000000.0|0.0|2000000.0|-508000000.0|-722000000.0|-2332000000.0|-41000000.0|-2000000.0|1974000000.0|1976000000.0|2855000000.0|490000000.0|2365000000.0|2011-12-31|2011-12-31|2012-03-31|MDLZ|FY|14688000000.0|9795000000.0|4893000000.0|0.33312908496732024|702000000.0|3333000000.0|0.0|573000000.0|4088000000.0|13883000000.0|573000000.0|368000000.0|1875000000.0|0.127655228758|1507000000.0|0.102600762527|0.0|934000000.0|0.0635893246187|92000000.0|830000000.0|0.056508714596899996|0.47|0.47|1765000000.0|1772000000.0|2011-12-31|2011-12-31|2012-03-31
2012-01-05|24.49|24.79|24.46|24.69|8508667|USD|2|MDLZ|FY|1974000000.0|0.0|1974000000.0|0.0|5706000000.0|8522000000.0|16202000000.0|13813000000.0|37297000000.0|25186000000.0|62483000000.0|0.0|912000000.0|427000000.0|77635000000.0|1339000000.0|93837000000.0|5525000000.0|3654000000.0|0.0|912000000.0|9266000000.0|18445000000.0|23095000000.0|0.0|6738000000.0|3396000000.0|33229000000.0|6946000000.0|58620000000.0|1996537778.0|18012000000.0|-6637000000.0|21845462222.0|35217000000.0|93837000000.0|0.0|26749000000.0|24775000000.0|2011-12-31|2011-12-31|2012-03-31|MDLZ|FY|850000000.0|368000000.0|-78000000.0|44000000.0|788000000.0|322000000.0|632000000.0|361000000.0|-2243000000.0|0.0|2855000000.0|-490000000.0|0.0|0.0|0.0|6000000.0|-484000000.0|-1104000000.0|0.0|2000000.0|-508000000.0|-722000000.0|-2332000000.0|-41000000.0|-2000000.0|1974000000.0|1976000000.0|2855000000.0|490000000.0|2365000000.0|2011-12-31|2011-12-31|2012-03-31|MDLZ|FY|14688000000.0|9795000000.0|4893000000.0|0.33312908496732024|702000000.0|3333000000.0|0.0|573000000.0|4088000000.0|13883000000.0|573000000.0|368000000.0|1875000000.0|0.127655228758|1507000000.0|0.102600762527|0.0|934000000.0|0.0635893246187|92000000.0|830000000.0|0.056508714596899996|0.47|0.47|1765000000.0|1772000000.0|2011-12-31|2011-12-31|2012-03-31
2012-01-06|24.81|24.84|24.54|24.57|7954431|USD|3|MDLZ|FY|1974000000.0|0.0|1974000000.0|0.0|5706000000.0|8522000000.0|16202000000.0|13813000000.0|37297000000.0|25186000000.0|62483000000.0|0.0|912000000.0|427000000.0|77635000000.0|1339000000.0|93837000000.0|5525000000.0|3654000000.0|0.0|912000000.0|9266000000.0|18445000000.0|23095000000.0|0.0|6738000000.0|3396000000.0|33229000000.0|6946000000.0|58620000000.0|1996537778.0|18012000000.0|-6637000000.0|21845462222.0|35217000000.0|93837000000.0|0.0|26749000000.0|24775000000.0|2011-12-31|2011-12-31|2012-03-31|MDLZ|FY|850000000.0|368000000.0|-78000000.0|44000000.0|788000000.0|322000000.0|632000000.0|361000000.0|-2243000000.0|0.0|2855000000.0|-490000000.0|0.0|0.0|0.0|6000000.0|-484000000.0|-1104000000.0|0.0|2000000.0|-508000000.0|-722000000.0|-2332000000.0|-41000000.0|-2000000.0|1974000000.0|1976000000.0|2855000000.0|490000000.0|2365000000.0|2011-12-31|2011-12-31|2012-03-31|MDLZ|FY|14688000000.0|9795000000.0|4893000000.0|0.33312908496732024|702000000.0|3333000000.0|0.0|573000000.0|4088000000.0|13883000000.0|573000000.0|368000000.0|1875000000.0|0.127655228758|1507000000.0|0.102600762527|0.0|934000000.0|0.0635893246187|92000000.0|830000000.0|0.056508714596899996|0.47|0.47|1765000000.0|1772000000.0|2011-12-31|2011-12-31|2012-03-31
2012-01-09|24.65|24.71|24.5|24.68|5238890|USD|4|MDLZ|FY|1974000000.0|0.0|1974000000.0|0.0|5706000000.0|8522000000.0|16202000000.0|13813000000.0|37297000000.0|25186000000.0|62483000000.0|0.0|912000000.0|427000000.0|77635000000.0|1339000000.0|93837000000.0|5525000000.0|3654000000.0|0.0|912000000.0|9266000000.0|18445000000.0|23095000000.0|0.0|6738000000.0|3396000000.0|33229000000.0|6946000000.0|58620000000.0|1996537778.0|18012000000.0|-6637000000.0|21845462222.0|35217000000.0|93837000000.0|0.0|26749000000.0|24775000000.0|2011-12-31|2011-12-31|2012-03-31|MDLZ|FY|850000000.0|368000000.0|-78000000.0|44000000.0|788000000.0|322000000.0|632000000.0|361000000.0|-2243000000.0|0.0|2855000000.0|-490000000.0|0.0|0.0|0.0|6000000.0|-484000000.0|-1104000000.0|0.0|2000000.0|-508000000.0|-722000000.0|-2332000000.0|-41000000.0|-2000000.0|1974000000.0|1976000000.0|2855000000.0|490000000.0|2365000000.0|2011-12-31|2011-12-31|2012-03-31|MDLZ|FY|14688000000.0|9795000000.0|4893000000.0|0.33312908496732024|702000000.0|3333000000.0|0.0|573000000.0|4088000000.0|13883000000.0|573000000.0|368000000.0|1875000000.0|0.127655228758|1507000000.0|0.102600762527|0.0|934000000.0|0.0635893246187|92000000.0|830000000.0|0.056508714596899996|0.47|0.47|1765000000.0|1772000000.0|2011-12-31|2011-12-31|2012-03-31
2012-01-10|24.9|24.96|24.8|24.88|6825644|USD|5|MDLZ|FY|1974000000.0|0.0|1974000000.0|0.0|5706000000.0|8522000000.0|16202000000.0|13813000000.0|37297000000.0|25186000000.0|62483000000.0|0.0|912000000.0|427000000.0|77635000000.0|1339000000.0|93837000000.0|5525000000.0|3654000000.0|0.0|912000000.0|9266000000.0|18445000000.0|23095000000.0|0.0|6738000000.0|3396000000.0|33229000000.0|6946000000.0|58620000000.0|1996537778.0|18012000000.0|-6637000000.0|21845462222.0|35217000000.0|93837000000.0|0.0|26749000000.0|24775000000.0|2011-12-31|2011-12-31|2012-03-31|MDLZ|FY|850000000.0|368000000.0|-78000000.0|44000000.0|788000000.0|322000000.0|632000000.0|361000000.0|-2243000000.0|0.0|2855000000.0|-490000000.0|0.0|0.0|0.0|6000000.0|-484000000.0|-1104000000.0|0.0|2000000.0|-508000000.0|-722000000.0|-2332000000.0|-41000000.0|-2000000.0|1974000000.0|1976000000.0|2855000000.0|490000000.0|2365000000.0|2011-12-31|2011-12-31|2012-03-31|MDLZ|FY|14688000000.0|9795000000.0|4893000000.0|0.33312908496732024|702000000.0|3333000000.0|0.0|573000000.0|4088000000.0|13883000000.0|573000000.0|368000000.0|1875000000.0|0.127655228758|1507000000.0|0.102600762527|0.0|934000000.0|0.0635893246187|92000000.0|830000000.0|0.056508714596899996|0.47|0.47|1765000000.0|1772000000.0|2011-12-31|2011-12-31|2012-03-31
2012-01-11|24.84|24.91|24.69|24.82|5576571|USD|6|MDLZ|FY|1974000000.0|0.0|1974000000.0|0.0|5706000000.0|8522000000.0|16202000000.0|13813000000.0|37297000000.0|25186000000.0|62483000000.0|0.0|912000000.0|427000000.0|77635000000.0|1339000000.0|93837000000.0|5525000000.0|3654000000.0|0.0|912000000.0|9266000000.0|18445000000.0|23095000000.0|0.0|6738000000.0|3396000000.0|33229000000.0|6946000000.0|58620000000.0|1996537778.0|18012000000.0|-6637000000.0|21845462222.0|35217000000.0|93837000000.0|0.0|26749000000.0|24775000000.0|2011-12-31|2011-12-31|2012-03-31|MDLZ|FY|850000000.0|368000000.0|-78000000.0|44000000.0|788000000.0|322000000.0|632000000.0|361000000.0|-2243000000.0|0.0|2855000000.0|-490000000.0|0.0|0.0|0.0|6000000.0|-484000000.0|-1104000000.0|0.0|2000000.0|-508000000.0|-722000000.0|-2332000000.0|-41000000.0|-2000000.0|1974000000.0|1976000000.0|2855000000.0|490000000.0|2365000000.0|2011-12-31|2011-12-31|2012-03-31|MDLZ|FY|14688000000.0|9795000000.0|4893000000.0|0.33312908496732024|702000000.0|3333000000.0|0.0|573000000.0|4088000000.0|13883000000.0|573000000.0|368000000.0|1875000000.0|0.127655228758|1507000000.0|0.102600762527|0.0|934000000.0|0.0635893246187|92000000.0|830000000.0|0.056508714596899996|0.47|0.47|1765000000.0|1772000000.0|2011-12-31|2011-12-31|2012-03-31
2012-01-12|24.93|25.04|24.84|25.01|6206975|USD|7|MDLZ|FY|1974000000.0|0.0|1974000000.0|0.0|5706000000.0|8522000000.0|16202000000.0|13813000000.0|37297000000.0|25186000000.0|62483000000.0|0.0|912000000.0|427000000.0|77635000000.0|1339000000.0|93837000000.0|5525000000.0|3654000000.0|0.0|912000000.0|9266000000.0|18445000000.0|23095000000.0|0.0|6738000000.0|3396000000.0|33229000000.0|6946000000.0|58620000000.0|1996537778.0|18012000000.0|-6637000000.0|21845462222.0|35217000000.0|93837000000.0|0.0|26749000000.0|24775000000.0|2011-12-31|2011-12-31|2012-03-31|MDLZ|FY|850000000.0|368000000.0|-78000000.0|44000000.0|788000000.0|322000000.0|632000000.0|361000000.0|-2243000000.0|0.0|2855000000.0|-490000000.0|0.0|0.0|0.0|6000000.0|-484000000.0|-1104000000.0|0.0|2000000.0|-508000000.0|-722000000.0|-2332000000.0|-41000000.0|-2000000.0|1974000000.0|1976000000.0|2855000000.0|490000000.0|2365000000.0|2011-12-31|2011-12-31|2012-03-31|MDLZ|FY|14688000000.0|9795000000.0|4893000000.0|0.33312908496732024|702000000.0|3333000000.0|0.0|573000000.0|4088000000.0|13883000000.0|573000000.0|368000000.0|1875000000.0|0.127655228758|1507000000.0|0.102600762527|0.0|934000000.0|0.0635893246187|92000000.0|830000000.0|0.056508714596899996|0.47|0.47|1765000000.0|1772000000.0|2011-12-31|2011-12-31|2012-03-31
2012-01-13|24.98|25.03|24.68|24.71|10413718|USD|8|MDLZ|FY|1974000000.0|0.0|1974000000.0|0.0|5706000000.0|8522000000.0|16202000000.0|13813000000.0|37297000000.0|25186000000.0|62483000000.0|0.0|912000000.0|427000000.0|77635000000.0|1339000000.0|93837000000.0|5525000000.0|3654000000.0|0.0|912000000.0|9266000000.0|18445000000.0|23095000000.0|0.0|6738000000.0|3396000000.0|33229000000.0|6946000000.0|58620000000.0|1996537778.0|18012000000.0|-6637000000.0|21845462222.0|35217000000.0|93837000000.0|0.0|26749000000.0|24775000000.0|2011-12-31|2011-12-31|2012-03-31|MDLZ|FY|850000000.0|368000000.0|-78000000.0|44000000.0|788000000.0|322000000.0|632000000.0|361000000.0|-2243000000.0|0.0|2855000000.0|-490000000.0|0.0|0.0|0.0|6000000.0|-484000000.0|-1104000000.0|0.0|2000000.0|-508000000.0|-722000000.0|-2332000000.0|-41000000.0|-2000000.0|1974000000.0|1976000000.0|2855000000.0|490000000.0|2365000000.0|2011-12-31|2011-12-31|2012-03-31|MDLZ|FY|14688000000.0|9795000000.0|4893000000.0|0.33312908496732024|702000000.0|3333000000.0|0.0|573000000.0|4088000000.0|13883000000.0|573000000.0|368000000.0|1875000000.0|0.127655228758|1507000000.0|0.102600762527|0.0|934000000.0|0.0635893246187|92000000.0|830000000.0|0.056508714596899996|0.47|0.47|1765000000.0|1772000000.0|2011-12-31|2011-12-31|2012-03-31
2012-01-17|24.95|25.21|24.87|24.95|8494910|USD|9|MDLZ|FY|1974000000.0|0.0|1974000000.0|0.0|5706000000.0|8522000000.0|16202000000.0|13813000000.0|37297000000.0|25186000000.0|62483000000.0|0.0|912000000.0|427000000.0|77635000000.0|1339000000.0|93837000000.0|5525000000.0|3654000000.0|0.0|912000000.0|9266000000.0|18445000000.0|23095000000.0|0.0|6738000000.0|3396000000.0|33229000000.0|6946000000.0|58620000000.0|1996537778.0|18012000000.0|-6637000000.0|21845462222.0|35217000000.0|93837000000.0|0.0|26749000000.0|24775000000.0|2011-12-31|2011-12-31|2012-03-31|MDLZ|FY|850000000.0|368000000.0|-78000000.0|44000000.0|788000000.0|322000000.0|632000000.0|361000000.0|-2243000000.0|0.0|2855000000.0|-490000000.0|0.0|0.0|0.0|6000000.0|-484000000.0|-1104000000.0|0.0|2000000.0|-508000000.0|-722000000.0|-2332000000.0|-41000000.0|-2000000.0|1974000000.0|1976000000.0|2855000000.0|490000000.0|2365000000.0|2011-12-31|2011-12-31|2012-03-31|MDLZ|FY|14688000000.0|9795000000.0|4893000000.0|0.33312908496732024|702000000.0|3333000000.0|0.0|573000000.0|4088000000.0|13883000000.0|573000000.0|368000000.0|1875000000.0|0.127655228758|1507000000.0|0.102600762527|0.0|934000000.0|0.0635893246187|92000000.0|830000000.0|0.056508714596899996|0.47|0.47|1765000000.0|1772000000.0|2011-12-31|2011-12-31|2012-03-31
