Unnamed: 0|Unnamed: 0.1|Unnamed: 0.1.1|OPEN|HIGH|LOW|CLOSE|VOLUME|CURRENCY|INDEX|symbol_x|period_x|cashAndCashEquivalents|shortTermInvestments|cashAndShortTermInvestments|netReceivables|inventory_x|otherCurrentAssets|totalCurrentAssets|propertyPlantEquipmentNet|goodwill|intangibleAssets|goodwillAndIntangibleAssets|longTermInvestments|taxAssets|otherNonCurrentAssets|totalNonCurrentAssets|otherAssets|totalAssets|accountPayables|shortTermDebt|taxPayables|deferredRevenue|otherCurrentLiabilities|totalCurrentLiabilities|longTermDebt|deferredRevenueNonCurrent|deferredTaxLiabilitiesNonCurrent|otherNonCurrentLiabilities|totalNonCurrentLiabilities|otherLiabilities|totalLiabilities|commonStock|retainedEarnings|accumulatedOtherComprehensiveIncomeLoss|othertotalStockholdersEquity|totalStockholdersEquity|totalLiabilitiesAndStockholdersEquity|totalInvestments|totalDebt|netDebt|Date_x|Start Date_x|End Date_x|symbol_y|period_y|netIncome_x|depreciationAndAmortization_x|deferredIncomeTax|stockBasedCompensation|changeInWorkingCapital|accountsReceivables|inventory_y|accountsPayables|otherWorkingCapital|otherNonCashItems|netCashProvidedByOperatingActivities|investmentsInPropertyPlantAndEquipment|acquisitionsNet|purchasesOfInvestments|salesMaturitiesOfInvestments|otherInvestingActivites|netCashUsedForInvestingActivites|debtRepayment|commonStockIssued|commonStockRepurchased|dividendsPaid|otherFinancingActivites|netCashUsedProvidedByFinancingActivities|effectOfForexChangesOnCash|netChangeInCash|cashAtEndOfPeriod|cashAtBeginningOfPeriod|operatingCashFlow|capitalExpenditure|freeCashFlow|Date_y|Start Date_y|End Date_y|symbol|period|revenue|costOfRevenue|grossProfit|grossProfitRatio|researchAndDevelopmentExpenses|generalAndAdministrativeExpenses|sellingAndMarketingExpenses|otherExpenses|operatingExpenses|costAndExpenses|interestExpense|depreciationAndAmortization_y|ebitda|ebitdaratio|operatingIncome|operatingIncomeRatio|totalOtherIncomeExpensesNet|incomeBeforeTax|incomeBeforeTaxRatio|incomeTaxExpense|netIncome_y|netIncomeRatio|eps|epsdiluted|weightedAverageShsOut|weightedAverageShsOutDil|Date_x.1|Start Date|End Date|prctChangeOPEN|TargetProbability|Date_y.1|No Articles|Date_x|No_Articles_x|Date_y|No_Articles_y
0|0|2019-03-14|39.5|40.65|39.32|39.96|279685|USD|0|FOX|Q2|1951000000.0|185000000.0|2136000000.0|2438000000.0|1422000000.0|-119000000.0|5877000000.0|1150000000.0|2747000000.0|2859000000.0|5606000000.0|289000000.0|0.0|544000000.0|7589000000.0|833000000.0|13466000000.0|1241000000.0|114000000.0|127000000.0|129000000.0|-370000000.0|1241000000.0|1241000000.0|0.0|1106000000.0|607000000.0|1713000000.0|118000000.0|3072000000.0|0.0|-202000000.0|-202000000.0|10798000000.0|10394000000.0|13466000000.0|474000000.0|114000000.0|-1837000000.0|2018-12-31|2018-12-31|2019-03-31|FOX|Q2|545967000.0|76264000.0|-67615000.0|26136000.0|0.0|-574939000.0|17009000.0|-217131000.0|4636000000.0|0.0|-38830000.0|-34474000.0|6804000.0|-100000000.0|0.0|-63000000.0|-190670000.0|2813000.0|0.0|-1907264000.0|-22000000.0|1591592000.0|-334859000.0|-419000.0|1935222000.0|1951000000.0|15778000.0|-38830000.0|34474000.0|-73304000.0|2018-12-31|2018-12-31|2019-03-31|FOX|Q2|5372980000.0|3800715000.0|1572265000.0|0.29262439093389514|-31789000.0|579001000.0|-42794000.0|-6344000.0|498074000.0|4298789000.0|27827000.0|76264000.0|825455000.0|0.153630759839|749191000.0|0.139436774378|4240000.0|753431000.0|0.140225908155|208901000.0|518967000.0|0.0965882992306|-2.43|-2.38|621000000.0|621000000.0|2018-12-31|2018-12-31|2019-03-31|1.0270000000000001|0.4746172644227802|2019-06-05|1|2019-06-05|1|2019-06-05|1
1|1|2019-03-15|40.55|41.05|40.5|41.02|164177|USD|1|FOX|Q2|1951000000.0|185000000.0|2136000000.0|2438000000.0|1422000000.0|-119000000.0|5877000000.0|1150000000.0|2747000000.0|2859000000.0|5606000000.0|289000000.0|0.0|544000000.0|7589000000.0|833000000.0|13466000000.0|1241000000.0|114000000.0|127000000.0|129000000.0|-370000000.0|1241000000.0|1241000000.0|0.0|1106000000.0|607000000.0|1713000000.0|118000000.0|3072000000.0|0.0|-202000000.0|-202000000.0|10798000000.0|10394000000.0|13466000000.0|474000000.0|114000000.0|-1837000000.0|2018-12-31|2018-12-31|2019-03-31|FOX|Q2|545967000.0|76264000.0|-67615000.0|26136000.0|0.0|-574939000.0|17009000.0|-217131000.0|4636000000.0|0.0|-38830000.0|-34474000.0|6804000.0|-100000000.0|0.0|-63000000.0|-190670000.0|2813000.0|0.0|-1907264000.0|-22000000.0|1591592000.0|-334859000.0|-419000.0|1935222000.0|1951000000.0|15778000.0|-38830000.0|34474000.0|-73304000.0|2018-12-31|2018-12-31|2019-03-31|FOX|Q2|5372980000.0|3800715000.0|1572265000.0|0.29262439093389514|-31789000.0|579001000.0|-42794000.0|-6344000.0|498074000.0|4298789000.0|27827000.0|76264000.0|825455000.0|0.153630759839|749191000.0|0.139436774378|4240000.0|753431000.0|0.140225908155|208901000.0|518967000.0|0.0965882992306|-2.43|-2.38|621000000.0|621000000.0|2018-12-31|2018-12-31|2019-03-31|1.0290000000000001|0.4536796117311186|2019-06-11|1|2019-06-11|1|2019-06-11|1
2|2|2019-03-18|41.73|41.73|40.47|40.86|581717|USD|2|FOX|Q2|1951000000.0|185000000.0|2136000000.0|2438000000.0|1422000000.0|-119000000.0|5877000000.0|1150000000.0|2747000000.0|2859000000.0|5606000000.0|289000000.0|0.0|544000000.0|7589000000.0|833000000.0|13466000000.0|1241000000.0|114000000.0|127000000.0|129000000.0|-370000000.0|1241000000.0|1241000000.0|0.0|1106000000.0|607000000.0|1713000000.0|118000000.0|3072000000.0|0.0|-202000000.0|-202000000.0|10798000000.0|10394000000.0|13466000000.0|474000000.0|114000000.0|-1837000000.0|2018-12-31|2018-12-31|2019-03-31|FOX|Q2|545967000.0|76264000.0|-67615000.0|26136000.0|0.0|-574939000.0|17009000.0|-217131000.0|4636000000.0|0.0|-38830000.0|-34474000.0|6804000.0|-100000000.0|0.0|-63000000.0|-190670000.0|2813000.0|0.0|-1907264000.0|-22000000.0|1591592000.0|-334859000.0|-419000.0|1935222000.0|1951000000.0|15778000.0|-38830000.0|34474000.0|-73304000.0|2018-12-31|2018-12-31|2019-03-31|FOX|Q2|5372980000.0|3800715000.0|1572265000.0|0.29262439093389514|-31789000.0|579001000.0|-42794000.0|-6344000.0|498074000.0|4298789000.0|27827000.0|76264000.0|825455000.0|0.153630759839|749191000.0|0.139436774378|4240000.0|753431000.0|0.140225908155|208901000.0|518967000.0|0.0965882992306|-2.43|-2.38|621000000.0|621000000.0|2018-12-31|2018-12-31|2019-03-31|0.992|0.4487647377026977|2019-06-12|1|2019-06-12|1|2019-06-12|1
3|3|2019-03-19|41.4|41.4|39.05|39.55|2540234|USD|3|FOX|Q2|1951000000.0|185000000.0|2136000000.0|2438000000.0|1422000000.0|-119000000.0|5877000000.0|1150000000.0|2747000000.0|2859000000.0|5606000000.0|289000000.0|0.0|544000000.0|7589000000.0|833000000.0|13466000000.0|1241000000.0|114000000.0|127000000.0|129000000.0|-370000000.0|1241000000.0|1241000000.0|0.0|1106000000.0|607000000.0|1713000000.0|118000000.0|3072000000.0|0.0|-202000000.0|-202000000.0|10798000000.0|10394000000.0|13466000000.0|474000000.0|114000000.0|-1837000000.0|2018-12-31|2018-12-31|2019-03-31|FOX|Q2|545967000.0|76264000.0|-67615000.0|26136000.0|0.0|-574939000.0|17009000.0|-217131000.0|4636000000.0|0.0|-38830000.0|-34474000.0|6804000.0|-100000000.0|0.0|-63000000.0|-190670000.0|2813000.0|0.0|-1907264000.0|-22000000.0|1591592000.0|-334859000.0|-419000.0|1935222000.0|1951000000.0|15778000.0|-38830000.0|34474000.0|-73304000.0|2018-12-31|2018-12-31|2019-03-31|FOX|Q2|5372980000.0|3800715000.0|1572265000.0|0.29262439093389514|-31789000.0|579001000.0|-42794000.0|-6344000.0|498074000.0|4298789000.0|27827000.0|76264000.0|825455000.0|0.153630759839|749191000.0|0.139436774378|4240000.0|753431000.0|0.140225908155|208901000.0|518967000.0|0.0965882992306|-2.43|-2.38|621000000.0|621000000.0|2018-12-31|2018-12-31|2019-03-31|0.963|0.4557220946738817|2019-06-21|1|2019-06-21|1|2019-06-21|1
4|4|2019-03-20|39.85|39.85|37.46|37.6|5147908|USD|4|FOX|Q2|1951000000.0|185000000.0|2136000000.0|2438000000.0|1422000000.0|-119000000.0|5877000000.0|1150000000.0|2747000000.0|2859000000.0|5606000000.0|289000000.0|0.0|544000000.0|7589000000.0|833000000.0|13466000000.0|1241000000.0|114000000.0|127000000.0|129000000.0|-370000000.0|1241000000.0|1241000000.0|0.0|1106000000.0|607000000.0|1713000000.0|118000000.0|3072000000.0|0.0|-202000000.0|-202000000.0|10798000000.0|10394000000.0|13466000000.0|474000000.0|114000000.0|-1837000000.0|2018-12-31|2018-12-31|2019-03-31|FOX|Q2|545967000.0|76264000.0|-67615000.0|26136000.0|0.0|-574939000.0|17009000.0|-217131000.0|4636000000.0|0.0|-38830000.0|-34474000.0|6804000.0|-100000000.0|0.0|-63000000.0|-190670000.0|2813000.0|0.0|-1907264000.0|-22000000.0|1591592000.0|-334859000.0|-419000.0|1935222000.0|1951000000.0|15778000.0|-38830000.0|34474000.0|-73304000.0|2018-12-31|2018-12-31|2019-03-31|FOX|Q2|5372980000.0|3800715000.0|1572265000.0|0.29262439093389514|-31789000.0|579001000.0|-42794000.0|-6344000.0|498074000.0|4298789000.0|27827000.0|76264000.0|825455000.0|0.153630759839|749191000.0|0.139436774378|4240000.0|753431000.0|0.140225908155|208901000.0|518967000.0|0.0965882992306|-2.43|-2.38|621000000.0|621000000.0|2018-12-31|2018-12-31|2019-03-31|0.9540000000000001|0.4820220726113658|2019-07-05|1|2019-07-05|1|2019-07-05|1
5|5|2019-03-21|38.0|38.91|37.84|38.88|8865546|USD|5|FOX|Q2|1951000000.0|185000000.0|2136000000.0|2438000000.0|1422000000.0|-119000000.0|5877000000.0|1150000000.0|2747000000.0|2859000000.0|5606000000.0|289000000.0|0.0|544000000.0|7589000000.0|833000000.0|13466000000.0|1241000000.0|114000000.0|127000000.0|129000000.0|-370000000.0|1241000000.0|1241000000.0|0.0|1106000000.0|607000000.0|1713000000.0|118000000.0|3072000000.0|0.0|-202000000.0|-202000000.0|10798000000.0|10394000000.0|13466000000.0|474000000.0|114000000.0|-1837000000.0|2018-12-31|2018-12-31|2019-03-31|FOX|Q2|545967000.0|76264000.0|-67615000.0|26136000.0|0.0|-574939000.0|17009000.0|-217131000.0|4636000000.0|0.0|-38830000.0|-34474000.0|6804000.0|-100000000.0|0.0|-63000000.0|-190670000.0|2813000.0|0.0|-1907264000.0|-22000000.0|1591592000.0|-334859000.0|-419000.0|1935222000.0|1951000000.0|15778000.0|-38830000.0|34474000.0|-73304000.0|2018-12-31|2018-12-31|2019-03-31|FOX|Q2|5372980000.0|3800715000.0|1572265000.0|0.29262439093389514|-31789000.0|579001000.0|-42794000.0|-6344000.0|498074000.0|4298789000.0|27827000.0|76264000.0|825455000.0|0.153630759839|749191000.0|0.139436774378|4240000.0|753431000.0|0.140225908155|208901000.0|518967000.0|0.0965882992306|-2.43|-2.38|621000000.0|621000000.0|2018-12-31|2018-12-31|2019-03-31|1.02|0.4800684191877013|2019-07-08|1|2019-07-08|1|2019-07-08|1
6|6|2019-03-22|38.76|38.84|36.55|37.46|4902540|USD|6|FOX|Q2|1951000000.0|185000000.0|2136000000.0|2438000000.0|1422000000.0|-119000000.0|5877000000.0|1150000000.0|2747000000.0|2859000000.0|5606000000.0|289000000.0|0.0|544000000.0|7589000000.0|833000000.0|13466000000.0|1241000000.0|114000000.0|127000000.0|129000000.0|-370000000.0|1241000000.0|1241000000.0|0.0|1106000000.0|607000000.0|1713000000.0|118000000.0|3072000000.0|0.0|-202000000.0|-202000000.0|10798000000.0|10394000000.0|13466000000.0|474000000.0|114000000.0|-1837000000.0|2018-12-31|2018-12-31|2019-03-31|FOX|Q2|545967000.0|76264000.0|-67615000.0|26136000.0|0.0|-574939000.0|17009000.0|-217131000.0|4636000000.0|0.0|-38830000.0|-34474000.0|6804000.0|-100000000.0|0.0|-63000000.0|-190670000.0|2813000.0|0.0|-1907264000.0|-22000000.0|1591592000.0|-334859000.0|-419000.0|1935222000.0|1951000000.0|15778000.0|-38830000.0|34474000.0|-73304000.0|2018-12-31|2018-12-31|2019-03-31|FOX|Q2|5372980000.0|3800715000.0|1572265000.0|0.29262439093389514|-31789000.0|579001000.0|-42794000.0|-6344000.0|498074000.0|4298789000.0|27827000.0|76264000.0|825455000.0|0.153630759839|749191000.0|0.139436774378|4240000.0|753431000.0|0.140225908155|208901000.0|518967000.0|0.0965882992306|-2.43|-2.38|621000000.0|621000000.0|2018-12-31|2018-12-31|2019-03-31|0.9690000000000001|0.4615037966856846|2019-07-09|1|2019-07-09|1|2019-07-09|1
7|7|2019-03-25|37.57|37.81|36.35|36.45|4035118|USD|7|FOX|Q2|1951000000.0|185000000.0|2136000000.0|2438000000.0|1422000000.0|-119000000.0|5877000000.0|1150000000.0|2747000000.0|2859000000.0|5606000000.0|289000000.0|0.0|544000000.0|7589000000.0|833000000.0|13466000000.0|1241000000.0|114000000.0|127000000.0|129000000.0|-370000000.0|1241000000.0|1241000000.0|0.0|1106000000.0|607000000.0|1713000000.0|118000000.0|3072000000.0|0.0|-202000000.0|-202000000.0|10798000000.0|10394000000.0|13466000000.0|474000000.0|114000000.0|-1837000000.0|2018-12-31|2018-12-31|2019-03-31|FOX|Q2|545967000.0|76264000.0|-67615000.0|26136000.0|0.0|-574939000.0|17009000.0|-217131000.0|4636000000.0|0.0|-38830000.0|-34474000.0|6804000.0|-100000000.0|0.0|-63000000.0|-190670000.0|2813000.0|0.0|-1907264000.0|-22000000.0|1591592000.0|-334859000.0|-419000.0|1935222000.0|1951000000.0|15778000.0|-38830000.0|34474000.0|-73304000.0|2018-12-31|2018-12-31|2019-03-31|FOX|Q2|5372980000.0|3800715000.0|1572265000.0|0.29262439093389514|-31789000.0|579001000.0|-42794000.0|-6344000.0|498074000.0|4298789000.0|27827000.0|76264000.0|825455000.0|0.153630759839|749191000.0|0.139436774378|4240000.0|753431000.0|0.140225908155|208901000.0|518967000.0|0.0965882992306|-2.43|-2.38|621000000.0|621000000.0|2018-12-31|2018-12-31|2019-03-31|0.97|0.4897035522530521|2019-07-29|1|2019-07-29|1|2019-07-29|1
8|8|2019-03-26|36.46|37.35|36.46|36.71|3350854|USD|8|FOX|Q2|1951000000.0|185000000.0|2136000000.0|2438000000.0|1422000000.0|-119000000.0|5877000000.0|1150000000.0|2747000000.0|2859000000.0|5606000000.0|289000000.0|0.0|544000000.0|7589000000.0|833000000.0|13466000000.0|1241000000.0|114000000.0|127000000.0|129000000.0|-370000000.0|1241000000.0|1241000000.0|0.0|1106000000.0|607000000.0|1713000000.0|118000000.0|3072000000.0|0.0|-202000000.0|-202000000.0|10798000000.0|10394000000.0|13466000000.0|474000000.0|114000000.0|-1837000000.0|2018-12-31|2018-12-31|2019-03-31|FOX|Q2|545967000.0|76264000.0|-67615000.0|26136000.0|0.0|-574939000.0|17009000.0|-217131000.0|4636000000.0|0.0|-38830000.0|-34474000.0|6804000.0|-100000000.0|0.0|-63000000.0|-190670000.0|2813000.0|0.0|-1907264000.0|-22000000.0|1591592000.0|-334859000.0|-419000.0|1935222000.0|1951000000.0|15778000.0|-38830000.0|34474000.0|-73304000.0|2018-12-31|2018-12-31|2019-03-31|FOX|Q2|5372980000.0|3800715000.0|1572265000.0|0.29262439093389514|-31789000.0|579001000.0|-42794000.0|-6344000.0|498074000.0|4298789000.0|27827000.0|76264000.0|825455000.0|0.153630759839|749191000.0|0.139436774378|4240000.0|753431000.0|0.140225908155|208901000.0|518967000.0|0.0965882992306|-2.43|-2.38|621000000.0|621000000.0|2018-12-31|2018-12-31|2019-03-31|1.008|0.5049851404756597|2019-07-30|2|2019-07-30|2|2019-07-30|2
9|9|2019-03-27|36.75|37.17|36.06|36.2|2871305|USD|9|FOX|Q2|1951000000.0|185000000.0|2136000000.0|2438000000.0|1422000000.0|-119000000.0|5877000000.0|1150000000.0|2747000000.0|2859000000.0|5606000000.0|289000000.0|0.0|544000000.0|7589000000.0|833000000.0|13466000000.0|1241000000.0|114000000.0|127000000.0|129000000.0|-370000000.0|1241000000.0|1241000000.0|0.0|1106000000.0|607000000.0|1713000000.0|118000000.0|3072000000.0|0.0|-202000000.0|-202000000.0|10798000000.0|10394000000.0|13466000000.0|474000000.0|114000000.0|-1837000000.0|2018-12-31|2018-12-31|2019-03-31|FOX|Q2|545967000.0|76264000.0|-67615000.0|26136000.0|0.0|-574939000.0|17009000.0|-217131000.0|4636000000.0|0.0|-38830000.0|-34474000.0|6804000.0|-100000000.0|0.0|-63000000.0|-190670000.0|2813000.0|0.0|-1907264000.0|-22000000.0|1591592000.0|-334859000.0|-419000.0|1935222000.0|1951000000.0|15778000.0|-38830000.0|34474000.0|-73304000.0|2018-12-31|2018-12-31|2019-03-31|FOX|Q2|5372980000.0|3800715000.0|1572265000.0|0.29262439093389514|-31789000.0|579001000.0|-42794000.0|-6344000.0|498074000.0|4298789000.0|27827000.0|76264000.0|825455000.0|0.153630759839|749191000.0|0.139436774378|4240000.0|753431000.0|0.140225908155|208901000.0|518967000.0|0.0965882992306|-2.43|-2.38|621000000.0|621000000.0|2018-12-31|2018-12-31|2019-03-31|0.983|0.5301427916840241|2019-08-07|3|2019-08-07|3|2019-08-07|3
