Unnamed: 0|Unnamed: 0.1|Unnamed: 0.1.1|OPEN|HIGH|LOW|CLOSE|VOLUME|CURRENCY|INDEX|symbol_x|period_x|cashAndCashEquivalents|shortTermInvestments|cashAndShortTermInvestments|netReceivables|inventory_x|otherCurrentAssets|totalCurrentAssets|propertyPlantEquipmentNet|goodwill|intangibleAssets|goodwillAndIntangibleAssets|longTermInvestments|taxAssets|otherNonCurrentAssets|totalNonCurrentAssets|otherAssets|totalAssets|accountPayables|shortTermDebt|taxPayables|deferredRevenue|otherCurrentLiabilities|totalCurrentLiabilities|longTermDebt|deferredRevenueNonCurrent|deferredTaxLiabilitiesNonCurrent|otherNonCurrentLiabilities|totalNonCurrentLiabilities|otherLiabilities|totalLiabilities|commonStock|retainedEarnings|accumulatedOtherComprehensiveIncomeLoss|othertotalStockholdersEquity|totalStockholdersEquity|totalLiabilitiesAndStockholdersEquity|totalInvestments|totalDebt|netDebt|Date_x|Start Date_x|End Date_x|symbol_y|period_y|netIncome_x|depreciationAndAmortization_x|deferredIncomeTax|stockBasedCompensation|changeInWorkingCapital|accountsReceivables|inventory_y|accountsPayables|otherWorkingCapital|otherNonCashItems|netCashProvidedByOperatingActivities|investmentsInPropertyPlantAndEquipment|acquisitionsNet|purchasesOfInvestments|salesMaturitiesOfInvestments|otherInvestingActivites|netCashUsedForInvestingActivites|debtRepayment|commonStockIssued|commonStockRepurchased|dividendsPaid|otherFinancingActivites|netCashUsedProvidedByFinancingActivities|effectOfForexChangesOnCash|netChangeInCash|cashAtEndOfPeriod|cashAtBeginningOfPeriod|operatingCashFlow|capitalExpenditure|freeCashFlow|Date_y|Start Date_y|End Date_y|symbol|period|revenue|costOfRevenue|grossProfit|grossProfitRatio|researchAndDevelopmentExpenses|generalAndAdministrativeExpenses|sellingAndMarketingExpenses|otherExpenses|operatingExpenses|costAndExpenses|interestExpense|depreciationAndAmortization_y|ebitda|ebitdaratio|operatingIncome|operatingIncomeRatio|totalOtherIncomeExpensesNet|incomeBeforeTax|incomeBeforeTaxRatio|incomeTaxExpense|netIncome_y|netIncomeRatio|eps|epsdiluted|weightedAverageShsOut|weightedAverageShsOutDil|Date_x.1|Start Date|End Date|prctChangeOPEN|TargetProbability|Date_y.1|No Articles|Date_x|No_Articles_x|Date_y|No_Articles_y
0|0|2012-01-03|44.69|44.93|43.44|43.76|2592704|USD|0|FAST|FY|117676000.0|27165000.0|144841000.0|338594000.0|646152000.0|106551000.0|1236138000.0|435601000.0|0.0|0.0|0.0|27165000.0|16718000.0|-3509000.0|448810000.0|0.0|1684948000.0|73779000.0|0.0|2077000.0|16718000.0|111962000.0|187818000.0|111962000.0|0.0|38154000.0|0.0|38154000.0|0.0|225972000.0|2953000.0|1424371000.0|14796000.0|16856000.0|1458976000.0|1684948000.0|27165000.0|111962000.0|-117676000.0|2011-12-31|2011-12-31|2012-03-31|FAST|FY|87471000.0|11820000.0|-14613000.0|1125000.0|49825000.0|19855000.0|-28003000.0|-13060000.0|1048320000.0|0.0|74308000.0|-27564000.0|0.0|0.0|0.0|-383000.0|-27947000.0|60256000.0|0.0|111048000.0|-41327000.0|-109633000.0|-39912000.0|179000.0|6628000.0|117676000.0|111048000.0|74308000.0|27564000.0|46744000.0|2011-12-31|2011-12-31|2012-03-31|FAST|FY|697804000.0|340626000.0|357178000.0|0.5118600638574728|0.0|216552000.0|0.0|216552000.0|216552000.0|557178000.0|0.0|11820000.0|152435000.0|0.218449593296|140615000.0|0.201510739405|0.0|140769000.0|0.201731431749|53298000.0|87471000.0|0.125351817989|0.29|0.3|295053790.0|295868726.0|2011-12-31|2011-12-31|2012-03-31|0.978|0.6198939209605258|2010-04-08|1|2010-04-08|1|2010-04-08|1
1|1|2012-01-04|43.71|44.41|43.25|44.36|2285686|USD|1|FAST|FY|117676000.0|27165000.0|144841000.0|338594000.0|646152000.0|106551000.0|1236138000.0|435601000.0|0.0|0.0|0.0|27165000.0|16718000.0|-3509000.0|448810000.0|0.0|1684948000.0|73779000.0|0.0|2077000.0|16718000.0|111962000.0|187818000.0|111962000.0|0.0|38154000.0|0.0|38154000.0|0.0|225972000.0|2953000.0|1424371000.0|14796000.0|16856000.0|1458976000.0|1684948000.0|27165000.0|111962000.0|-117676000.0|2011-12-31|2011-12-31|2012-03-31|FAST|FY|87471000.0|11820000.0|-14613000.0|1125000.0|49825000.0|19855000.0|-28003000.0|-13060000.0|1048320000.0|0.0|74308000.0|-27564000.0|0.0|0.0|0.0|-383000.0|-27947000.0|60256000.0|0.0|111048000.0|-41327000.0|-109633000.0|-39912000.0|179000.0|6628000.0|117676000.0|111048000.0|74308000.0|27564000.0|46744000.0|2011-12-31|2011-12-31|2012-03-31|FAST|FY|697804000.0|340626000.0|357178000.0|0.5118600638574728|0.0|216552000.0|0.0|216552000.0|216552000.0|557178000.0|0.0|11820000.0|152435000.0|0.218449593296|140615000.0|0.201510739405|0.0|140769000.0|0.201731431749|53298000.0|87471000.0|0.125351817989|0.29|0.3|295053790.0|295868726.0|2011-12-31|2011-12-31|2012-03-31|1.013|0.6246110397938537|2010-04-20|1|2010-04-20|1|2010-04-20|1
2|2|2012-01-05|44.3|45.16|43.82|45.13|1754518|USD|2|FAST|FY|117676000.0|27165000.0|144841000.0|338594000.0|646152000.0|106551000.0|1236138000.0|435601000.0|0.0|0.0|0.0|27165000.0|16718000.0|-3509000.0|448810000.0|0.0|1684948000.0|73779000.0|0.0|2077000.0|16718000.0|111962000.0|187818000.0|111962000.0|0.0|38154000.0|0.0|38154000.0|0.0|225972000.0|2953000.0|1424371000.0|14796000.0|16856000.0|1458976000.0|1684948000.0|27165000.0|111962000.0|-117676000.0|2011-12-31|2011-12-31|2012-03-31|FAST|FY|87471000.0|11820000.0|-14613000.0|1125000.0|49825000.0|19855000.0|-28003000.0|-13060000.0|1048320000.0|0.0|74308000.0|-27564000.0|0.0|0.0|0.0|-383000.0|-27947000.0|60256000.0|0.0|111048000.0|-41327000.0|-109633000.0|-39912000.0|179000.0|6628000.0|117676000.0|111048000.0|74308000.0|27564000.0|46744000.0|2011-12-31|2011-12-31|2012-03-31|FAST|FY|697804000.0|340626000.0|357178000.0|0.5118600638574728|0.0|216552000.0|0.0|216552000.0|216552000.0|557178000.0|0.0|11820000.0|152435000.0|0.218449593296|140615000.0|0.201510739405|0.0|140769000.0|0.201731431749|53298000.0|87471000.0|0.125351817989|0.29|0.3|295053790.0|295868726.0|2011-12-31|2011-12-31|2012-03-31|1.02|0.6179001705281988|2010-07-13|1|2010-07-13|1|2010-07-13|1
3|3|2012-01-06|45.19|45.44|44.77|45.21|1861163|USD|3|FAST|FY|117676000.0|27165000.0|144841000.0|338594000.0|646152000.0|106551000.0|1236138000.0|435601000.0|0.0|0.0|0.0|27165000.0|16718000.0|-3509000.0|448810000.0|0.0|1684948000.0|73779000.0|0.0|2077000.0|16718000.0|111962000.0|187818000.0|111962000.0|0.0|38154000.0|0.0|38154000.0|0.0|225972000.0|2953000.0|1424371000.0|14796000.0|16856000.0|1458976000.0|1684948000.0|27165000.0|111962000.0|-117676000.0|2011-12-31|2011-12-31|2012-03-31|FAST|FY|87471000.0|11820000.0|-14613000.0|1125000.0|49825000.0|19855000.0|-28003000.0|-13060000.0|1048320000.0|0.0|74308000.0|-27564000.0|0.0|0.0|0.0|-383000.0|-27947000.0|60256000.0|0.0|111048000.0|-41327000.0|-109633000.0|-39912000.0|179000.0|6628000.0|117676000.0|111048000.0|74308000.0|27564000.0|46744000.0|2011-12-31|2011-12-31|2012-03-31|FAST|FY|697804000.0|340626000.0|357178000.0|0.5118600638574728|0.0|216552000.0|0.0|216552000.0|216552000.0|557178000.0|0.0|11820000.0|152435000.0|0.218449593296|140615000.0|0.201510739405|0.0|140769000.0|0.201731431749|53298000.0|87471000.0|0.125351817989|0.29|0.3|295053790.0|295868726.0|2011-12-31|2011-12-31|2012-03-31|1.001|0.6040779378445552|2010-10-12|1|2010-10-12|1|2010-10-12|1
4|4|2012-01-09|45.25|45.42|44.9|45.17|2040366|USD|4|FAST|FY|117676000.0|27165000.0|144841000.0|338594000.0|646152000.0|106551000.0|1236138000.0|435601000.0|0.0|0.0|0.0|27165000.0|16718000.0|-3509000.0|448810000.0|0.0|1684948000.0|73779000.0|0.0|2077000.0|16718000.0|111962000.0|187818000.0|111962000.0|0.0|38154000.0|0.0|38154000.0|0.0|225972000.0|2953000.0|1424371000.0|14796000.0|16856000.0|1458976000.0|1684948000.0|27165000.0|111962000.0|-117676000.0|2011-12-31|2011-12-31|2012-03-31|FAST|FY|87471000.0|11820000.0|-14613000.0|1125000.0|49825000.0|19855000.0|-28003000.0|-13060000.0|1048320000.0|0.0|74308000.0|-27564000.0|0.0|0.0|0.0|-383000.0|-27947000.0|60256000.0|0.0|111048000.0|-41327000.0|-109633000.0|-39912000.0|179000.0|6628000.0|117676000.0|111048000.0|74308000.0|27564000.0|46744000.0|2011-12-31|2011-12-31|2012-03-31|FAST|FY|697804000.0|340626000.0|357178000.0|0.5118600638574728|0.0|216552000.0|0.0|216552000.0|216552000.0|557178000.0|0.0|11820000.0|152435000.0|0.218449593296|140615000.0|0.201510739405|0.0|140769000.0|0.201731431749|53298000.0|87471000.0|0.125351817989|0.29|0.3|295053790.0|295868726.0|2011-12-31|2011-12-31|2012-03-31|1.006|0.6040779378445607|2010-12-13|1|2010-12-13|1|2010-12-13|1
5|5|2012-01-10|45.51|45.81|44.43|45.01|2669896|USD|5|FAST|FY|117676000.0|27165000.0|144841000.0|338594000.0|646152000.0|106551000.0|1236138000.0|435601000.0|0.0|0.0|0.0|27165000.0|16718000.0|-3509000.0|448810000.0|0.0|1684948000.0|73779000.0|0.0|2077000.0|16718000.0|111962000.0|187818000.0|111962000.0|0.0|38154000.0|0.0|38154000.0|0.0|225972000.0|2953000.0|1424371000.0|14796000.0|16856000.0|1458976000.0|1684948000.0|27165000.0|111962000.0|-117676000.0|2011-12-31|2011-12-31|2012-03-31|FAST|FY|87471000.0|11820000.0|-14613000.0|1125000.0|49825000.0|19855000.0|-28003000.0|-13060000.0|1048320000.0|0.0|74308000.0|-27564000.0|0.0|0.0|0.0|-383000.0|-27947000.0|60256000.0|0.0|111048000.0|-41327000.0|-109633000.0|-39912000.0|179000.0|6628000.0|117676000.0|111048000.0|74308000.0|27564000.0|46744000.0|2011-12-31|2011-12-31|2012-03-31|FAST|FY|697804000.0|340626000.0|357178000.0|0.5118600638574728|0.0|216552000.0|0.0|216552000.0|216552000.0|557178000.0|0.0|11820000.0|152435000.0|0.218449593296|140615000.0|0.201510739405|0.0|140769000.0|0.201731431749|53298000.0|87471000.0|0.125351817989|0.29|0.3|295053790.0|295868726.0|2011-12-31|2011-12-31|2012-03-31|0.9890000000000001|0.601613777713943|2011-03-06|1|2011-03-06|1|2011-03-06|1
6|6|2012-01-11|45.01|45.41|44.75|45.22|1595665|USD|6|FAST|FY|117676000.0|27165000.0|144841000.0|338594000.0|646152000.0|106551000.0|1236138000.0|435601000.0|0.0|0.0|0.0|27165000.0|16718000.0|-3509000.0|448810000.0|0.0|1684948000.0|73779000.0|0.0|2077000.0|16718000.0|111962000.0|187818000.0|111962000.0|0.0|38154000.0|0.0|38154000.0|0.0|225972000.0|2953000.0|1424371000.0|14796000.0|16856000.0|1458976000.0|1684948000.0|27165000.0|111962000.0|-117676000.0|2011-12-31|2011-12-31|2012-03-31|FAST|FY|87471000.0|11820000.0|-14613000.0|1125000.0|49825000.0|19855000.0|-28003000.0|-13060000.0|1048320000.0|0.0|74308000.0|-27564000.0|0.0|0.0|0.0|-383000.0|-27947000.0|60256000.0|0.0|111048000.0|-41327000.0|-109633000.0|-39912000.0|179000.0|6628000.0|117676000.0|111048000.0|74308000.0|27564000.0|46744000.0|2011-12-31|2011-12-31|2012-03-31|FAST|FY|697804000.0|340626000.0|357178000.0|0.5118600638574728|0.0|216552000.0|0.0|216552000.0|216552000.0|557178000.0|0.0|11820000.0|152435000.0|0.218449593296|140615000.0|0.201510739405|0.0|140769000.0|0.201731431749|53298000.0|87471000.0|0.125351817989|0.29|0.3|295053790.0|295868726.0|2011-12-31|2011-12-31|2012-03-31|1.0090000000000001|0.6270656230070741|2011-03-09|1|2011-03-09|1|2011-03-09|1
7|7|2012-01-12|45.4|46.09|45.28|45.86|3169585|USD|7|FAST|FY|117676000.0|27165000.0|144841000.0|338594000.0|646152000.0|106551000.0|1236138000.0|435601000.0|0.0|0.0|0.0|27165000.0|16718000.0|-3509000.0|448810000.0|0.0|1684948000.0|73779000.0|0.0|2077000.0|16718000.0|111962000.0|187818000.0|111962000.0|0.0|38154000.0|0.0|38154000.0|0.0|225972000.0|2953000.0|1424371000.0|14796000.0|16856000.0|1458976000.0|1684948000.0|27165000.0|111962000.0|-117676000.0|2011-12-31|2011-12-31|2012-03-31|FAST|FY|87471000.0|11820000.0|-14613000.0|1125000.0|49825000.0|19855000.0|-28003000.0|-13060000.0|1048320000.0|0.0|74308000.0|-27564000.0|0.0|0.0|0.0|-383000.0|-27947000.0|60256000.0|0.0|111048000.0|-41327000.0|-109633000.0|-39912000.0|179000.0|6628000.0|117676000.0|111048000.0|74308000.0|27564000.0|46744000.0|2011-12-31|2011-12-31|2012-03-31|FAST|FY|697804000.0|340626000.0|357178000.0|0.5118600638574728|0.0|216552000.0|0.0|216552000.0|216552000.0|557178000.0|0.0|11820000.0|152435000.0|0.218449593296|140615000.0|0.201510739405|0.0|140769000.0|0.201731431749|53298000.0|87471000.0|0.125351817989|0.29|0.3|295053790.0|295868726.0|2011-12-31|2011-12-31|2012-03-31|1.006|0.6169321316850279|2011-04-12|1|2011-04-12|1|2011-04-12|1
8|8|2012-01-13|45.65|46.66|45.39|46.59|2814901|USD|8|FAST|FY|117676000.0|27165000.0|144841000.0|338594000.0|646152000.0|106551000.0|1236138000.0|435601000.0|0.0|0.0|0.0|27165000.0|16718000.0|-3509000.0|448810000.0|0.0|1684948000.0|73779000.0|0.0|2077000.0|16718000.0|111962000.0|187818000.0|111962000.0|0.0|38154000.0|0.0|38154000.0|0.0|225972000.0|2953000.0|1424371000.0|14796000.0|16856000.0|1458976000.0|1684948000.0|27165000.0|111962000.0|-117676000.0|2011-12-31|2011-12-31|2012-03-31|FAST|FY|87471000.0|11820000.0|-14613000.0|1125000.0|49825000.0|19855000.0|-28003000.0|-13060000.0|1048320000.0|0.0|74308000.0|-27564000.0|0.0|0.0|0.0|-383000.0|-27947000.0|60256000.0|0.0|111048000.0|-41327000.0|-109633000.0|-39912000.0|179000.0|6628000.0|117676000.0|111048000.0|74308000.0|27564000.0|46744000.0|2011-12-31|2011-12-31|2012-03-31|FAST|FY|697804000.0|340626000.0|357178000.0|0.5118600638574728|0.0|216552000.0|0.0|216552000.0|216552000.0|557178000.0|0.0|11820000.0|152435000.0|0.218449593296|140615000.0|0.201510739405|0.0|140769000.0|0.201731431749|53298000.0|87471000.0|0.125351817989|0.29|0.3|295053790.0|295868726.0|2011-12-31|2011-12-31|2012-03-31|1.035|0.6221022750225904|2011-05-10|1|2011-05-10|1|2011-05-10|1
9|9|2012-01-17|47.25|47.59|46.54|46.79|3592489|USD|9|FAST|FY|117676000.0|27165000.0|144841000.0|338594000.0|646152000.0|106551000.0|1236138000.0|435601000.0|0.0|0.0|0.0|27165000.0|16718000.0|-3509000.0|448810000.0|0.0|1684948000.0|73779000.0|0.0|2077000.0|16718000.0|111962000.0|187818000.0|111962000.0|0.0|38154000.0|0.0|38154000.0|0.0|225972000.0|2953000.0|1424371000.0|14796000.0|16856000.0|1458976000.0|1684948000.0|27165000.0|111962000.0|-117676000.0|2011-12-31|2011-12-31|2012-03-31|FAST|FY|87471000.0|11820000.0|-14613000.0|1125000.0|49825000.0|19855000.0|-28003000.0|-13060000.0|1048320000.0|0.0|74308000.0|-27564000.0|0.0|0.0|0.0|-383000.0|-27947000.0|60256000.0|0.0|111048000.0|-41327000.0|-109633000.0|-39912000.0|179000.0|6628000.0|117676000.0|111048000.0|74308000.0|27564000.0|46744000.0|2011-12-31|2011-12-31|2012-03-31|FAST|FY|697804000.0|340626000.0|357178000.0|0.5118600638574728|0.0|216552000.0|0.0|216552000.0|216552000.0|557178000.0|0.0|11820000.0|152435000.0|0.218449593296|140615000.0|0.201510739405|0.0|140769000.0|0.201731431749|53298000.0|87471000.0|0.125351817989|0.29|0.3|295053790.0|295868726.0|2011-12-31|2011-12-31|2012-03-31|0.961|0.5959236534809442|2011-06-15|1|2011-06-15|1|2011-06-15|1
