|OPEN|HIGH|LOW|CLOSE|VOLUME|CURRENCY|INDEX|symbol_x|period_x|cashAndCashEquivalents|shortTermInvestments|cashAndShortTermInvestments|netReceivables|inventory|otherCurrentAssets|totalCurrentAssets|propertyPlantEquipmentNet|goodwill|intangibleAssets|goodwillAndIntangibleAssets|longTermInvestments|taxAssets|otherNonCurrentAssets|totalNonCurrentAssets|otherAssets|totalAssets|accountPayables|shortTermDebt|taxPayables|deferredRevenue|otherCurrentLiabilities|totalCurrentLiabilities|longTermDebt|deferredRevenueNonCurrent|deferredTaxLiabilitiesNonCurrent|otherNonCurrentLiabilities|totalNonCurrentLiabilities|otherLiabilities|totalLiabilities|commonStock|retainedEarnings|accumulatedOtherComprehensiveIncomeLoss|othertotalStockholdersEquity|totalStockholdersEquity|totalLiabilitiesAndStockholdersEquity|totalInvestments|totalDebt|netDebt|Date_x|Start Date_x|End Date_x|symbol_y|period_y|revenue|costOfRevenue|grossProfit|grossProfitRatio|researchAndDevelopmentExpenses|generalAndAdministrativeExpenses|sellingAndMarketingExpenses|otherExpenses|operatingExpenses|costAndExpenses|interestExpense|depreciationAndAmortization|ebitda|ebitdaratio|operatingIncome|operatingIncomeRatio|totalOtherIncomeExpensesNet|incomeBeforeTax|incomeBeforeTaxRatio|incomeTaxExpense|netIncome|netIncomeRatio|eps|epsdiluted|weightedAverageShsOut|weightedAverageShsOutDil|Date_y|Start Date_y|End Date_y|prctChangeOPEN|TargetProbability
2012-01-03|31.38|31.66|30.94|30.98|2761312|USD|0|WDC|Q2|3924000000.0|0.0|3924000000.0|747000000.0|466000000.0|261000000.0|5398000000.0|2091000000.0|151000000.0|63000000.0|214000000.0|0.0|0.0|0.0|2305000000.0|104000000.0|7807000000.0|883000000.0|0.0|0.0|0.0|669000000.0|1552000000.0|364000000.0|0.0|0.0|0.0|364000000.0|0.0|1884000000.0|2000000.0|4784000000.0|-14000000.0|1151000000.0|5923000000.0|7807000000.0|0.0|231000000.0|-3693000000.0|2011-12-30|2011-12-30|2012-03-30|WDC|Q2|1995000000.0|1347000000.0|648000000.0|0.324812030075188|191000000.0|96000000.0|0.0|203000000.0|486000000.0|1833000000.0|0.0|140000000.0|302000000.0|0.15137844611528822|162000000.0|0.081203007518797|0.0|160000000.0|0.08020050125313283|15000000.0|145000000.0|0.07268170426065163|0.0|0.0|241000000.0|245000000.0|2011-12-30|2011-12-30|2012-03-30|0.983|0.655684524909531
2012-01-04|30.86|31.36|30.49|31.3|4370626|USD|1|WDC|Q2|3924000000.0|0.0|3924000000.0|747000000.0|466000000.0|261000000.0|5398000000.0|2091000000.0|151000000.0|63000000.0|214000000.0|0.0|0.0|0.0|2305000000.0|104000000.0|7807000000.0|883000000.0|0.0|0.0|0.0|669000000.0|1552000000.0|364000000.0|0.0|0.0|0.0|364000000.0|0.0|1884000000.0|2000000.0|4784000000.0|-14000000.0|1151000000.0|5923000000.0|7807000000.0|0.0|231000000.0|-3693000000.0|2011-12-30|2011-12-30|2012-03-30|WDC|Q2|1995000000.0|1347000000.0|648000000.0|0.324812030075188|191000000.0|96000000.0|0.0|203000000.0|486000000.0|1833000000.0|0.0|140000000.0|302000000.0|0.15137844611528822|162000000.0|0.081203007518797|0.0|160000000.0|0.08020050125313283|15000000.0|145000000.0|0.07268170426065163|0.0|0.0|241000000.0|245000000.0|2011-12-30|2011-12-30|2012-03-30|1.051|0.650720309285316
2012-01-05|32.44|33.48|32.27|32.76|7084008|USD|2|WDC|Q2|3924000000.0|0.0|3924000000.0|747000000.0|466000000.0|261000000.0|5398000000.0|2091000000.0|151000000.0|63000000.0|214000000.0|0.0|0.0|0.0|2305000000.0|104000000.0|7807000000.0|883000000.0|0.0|0.0|0.0|669000000.0|1552000000.0|364000000.0|0.0|0.0|0.0|364000000.0|0.0|1884000000.0|2000000.0|4784000000.0|-14000000.0|1151000000.0|5923000000.0|7807000000.0|0.0|231000000.0|-3693000000.0|2011-12-30|2011-12-30|2012-03-30|WDC|Q2|1995000000.0|1347000000.0|648000000.0|0.324812030075188|191000000.0|96000000.0|0.0|203000000.0|486000000.0|1833000000.0|0.0|140000000.0|302000000.0|0.15137844611528822|162000000.0|0.081203007518797|0.0|160000000.0|0.08020050125313283|15000000.0|145000000.0|0.07268170426065163|0.0|0.0|241000000.0|245000000.0|2011-12-30|2011-12-30|2012-03-30|1.013|0.651057632768972
2012-01-06|32.86|34.03|32.58|33.49|4514525|USD|3|WDC|Q2|3924000000.0|0.0|3924000000.0|747000000.0|466000000.0|261000000.0|5398000000.0|2091000000.0|151000000.0|63000000.0|214000000.0|0.0|0.0|0.0|2305000000.0|104000000.0|7807000000.0|883000000.0|0.0|0.0|0.0|669000000.0|1552000000.0|364000000.0|0.0|0.0|0.0|364000000.0|0.0|1884000000.0|2000000.0|4784000000.0|-14000000.0|1151000000.0|5923000000.0|7807000000.0|0.0|231000000.0|-3693000000.0|2011-12-30|2011-12-30|2012-03-30|WDC|Q2|1995000000.0|1347000000.0|648000000.0|0.324812030075188|191000000.0|96000000.0|0.0|203000000.0|486000000.0|1833000000.0|0.0|140000000.0|302000000.0|0.15137844611528822|162000000.0|0.081203007518797|0.0|160000000.0|0.08020050125313283|15000000.0|145000000.0|0.07268170426065163|0.0|0.0|241000000.0|245000000.0|2011-12-30|2011-12-30|2012-03-30|1.016|0.6391609117005848
2012-01-09|33.37|34.02|33.06|33.75|4427757|USD|4|WDC|Q2|3924000000.0|0.0|3924000000.0|747000000.0|466000000.0|261000000.0|5398000000.0|2091000000.0|151000000.0|63000000.0|214000000.0|0.0|0.0|0.0|2305000000.0|104000000.0|7807000000.0|883000000.0|0.0|0.0|0.0|669000000.0|1552000000.0|364000000.0|0.0|0.0|0.0|364000000.0|0.0|1884000000.0|2000000.0|4784000000.0|-14000000.0|1151000000.0|5923000000.0|7807000000.0|0.0|231000000.0|-3693000000.0|2011-12-30|2011-12-30|2012-03-30|WDC|Q2|1995000000.0|1347000000.0|648000000.0|0.324812030075188|191000000.0|96000000.0|0.0|203000000.0|486000000.0|1833000000.0|0.0|140000000.0|302000000.0|0.15137844611528822|162000000.0|0.081203007518797|0.0|160000000.0|0.08020050125313283|15000000.0|145000000.0|0.07268170426065163|0.0|0.0|241000000.0|245000000.0|2011-12-30|2011-12-30|2012-03-30|1.024|0.6218970968319427
2012-01-10|34.18|34.64|33.5|33.53|5062616|USD|5|WDC|Q2|3924000000.0|0.0|3924000000.0|747000000.0|466000000.0|261000000.0|5398000000.0|2091000000.0|151000000.0|63000000.0|214000000.0|0.0|0.0|0.0|2305000000.0|104000000.0|7807000000.0|883000000.0|0.0|0.0|0.0|669000000.0|1552000000.0|364000000.0|0.0|0.0|0.0|364000000.0|0.0|1884000000.0|2000000.0|4784000000.0|-14000000.0|1151000000.0|5923000000.0|7807000000.0|0.0|231000000.0|-3693000000.0|2011-12-30|2011-12-30|2012-03-30|WDC|Q2|1995000000.0|1347000000.0|648000000.0|0.324812030075188|191000000.0|96000000.0|0.0|203000000.0|486000000.0|1833000000.0|0.0|140000000.0|302000000.0|0.15137844611528822|162000000.0|0.081203007518797|0.0|160000000.0|0.08020050125313283|15000000.0|145000000.0|0.07268170426065163|0.0|0.0|241000000.0|245000000.0|2011-12-30|2011-12-30|2012-03-30|0.977|0.596844664809264
2012-01-11|33.39|33.47|32.78|33.36|3448156|USD|6|WDC|Q2|3924000000.0|0.0|3924000000.0|747000000.0|466000000.0|261000000.0|5398000000.0|2091000000.0|151000000.0|63000000.0|214000000.0|0.0|0.0|0.0|2305000000.0|104000000.0|7807000000.0|883000000.0|0.0|0.0|0.0|669000000.0|1552000000.0|364000000.0|0.0|0.0|0.0|364000000.0|0.0|1884000000.0|2000000.0|4784000000.0|-14000000.0|1151000000.0|5923000000.0|7807000000.0|0.0|231000000.0|-3693000000.0|2011-12-30|2011-12-30|2012-03-30|WDC|Q2|1995000000.0|1347000000.0|648000000.0|0.324812030075188|191000000.0|96000000.0|0.0|203000000.0|486000000.0|1833000000.0|0.0|140000000.0|302000000.0|0.15137844611528822|162000000.0|0.081203007518797|0.0|160000000.0|0.08020050125313283|15000000.0|145000000.0|0.07268170426065163|0.0|0.0|241000000.0|245000000.0|2011-12-30|2011-12-30|2012-03-30|0.999|0.6203378804727259
2012-01-12|33.37|33.92|33.3|33.86|3560270|USD|7|WDC|Q2|3924000000.0|0.0|3924000000.0|747000000.0|466000000.0|261000000.0|5398000000.0|2091000000.0|151000000.0|63000000.0|214000000.0|0.0|0.0|0.0|2305000000.0|104000000.0|7807000000.0|883000000.0|0.0|0.0|0.0|669000000.0|1552000000.0|364000000.0|0.0|0.0|0.0|364000000.0|0.0|1884000000.0|2000000.0|4784000000.0|-14000000.0|1151000000.0|5923000000.0|7807000000.0|0.0|231000000.0|-3693000000.0|2011-12-30|2011-12-30|2012-03-30|WDC|Q2|1995000000.0|1347000000.0|648000000.0|0.324812030075188|191000000.0|96000000.0|0.0|203000000.0|486000000.0|1833000000.0|0.0|140000000.0|302000000.0|0.15137844611528822|162000000.0|0.081203007518797|0.0|160000000.0|0.08020050125313283|15000000.0|145000000.0|0.07268170426065163|0.0|0.0|241000000.0|245000000.0|2011-12-30|2011-12-30|2012-03-30|1.004|0.6143094181494395
2012-01-13|33.49|33.86|32.95|33.35|2405040|USD|8|WDC|Q2|3924000000.0|0.0|3924000000.0|747000000.0|466000000.0|261000000.0|5398000000.0|2091000000.0|151000000.0|63000000.0|214000000.0|0.0|0.0|0.0|2305000000.0|104000000.0|7807000000.0|883000000.0|0.0|0.0|0.0|669000000.0|1552000000.0|364000000.0|0.0|0.0|0.0|364000000.0|0.0|1884000000.0|2000000.0|4784000000.0|-14000000.0|1151000000.0|5923000000.0|7807000000.0|0.0|231000000.0|-3693000000.0|2011-12-30|2011-12-30|2012-03-30|WDC|Q2|1995000000.0|1347000000.0|648000000.0|0.324812030075188|191000000.0|96000000.0|0.0|203000000.0|486000000.0|1833000000.0|0.0|140000000.0|302000000.0|0.15137844611528822|162000000.0|0.081203007518797|0.0|160000000.0|0.08020050125313283|15000000.0|145000000.0|0.07268170426065163|0.0|0.0|241000000.0|245000000.0|2011-12-30|2011-12-30|2012-03-30|1.006|0.6042038842490732
2012-01-17|33.68|33.96|32.88|33.09|3520012|USD|9|WDC|Q2|3924000000.0|0.0|3924000000.0|747000000.0|466000000.0|261000000.0|5398000000.0|2091000000.0|151000000.0|63000000.0|214000000.0|0.0|0.0|0.0|2305000000.0|104000000.0|7807000000.0|883000000.0|0.0|0.0|0.0|669000000.0|1552000000.0|364000000.0|0.0|0.0|0.0|364000000.0|0.0|1884000000.0|2000000.0|4784000000.0|-14000000.0|1151000000.0|5923000000.0|7807000000.0|0.0|231000000.0|-3693000000.0|2011-12-30|2011-12-30|2012-03-30|WDC|Q2|1995000000.0|1347000000.0|648000000.0|0.324812030075188|191000000.0|96000000.0|0.0|203000000.0|486000000.0|1833000000.0|0.0|140000000.0|302000000.0|0.15137844611528822|162000000.0|0.081203007518797|0.0|160000000.0|0.08020050125313283|15000000.0|145000000.0|0.07268170426065163|0.0|0.0|241000000.0|245000000.0|2011-12-30|2011-12-30|2012-03-30|0.983|0.615543275059419
