|OPEN|HIGH|LOW|CLOSE|VOLUME|CURRENCY|INDEX|symbol_x|period_x|cashAndCashEquivalents|shortTermInvestments|cashAndShortTermInvestments|netReceivables|inventory_x|otherCurrentAssets|totalCurrentAssets|propertyPlantEquipmentNet|goodwill|intangibleAssets|goodwillAndIntangibleAssets|longTermInvestments|taxAssets|otherNonCurrentAssets|totalNonCurrentAssets|otherAssets|totalAssets|accountPayables|shortTermDebt|taxPayables|deferredRevenue|otherCurrentLiabilities|totalCurrentLiabilities|longTermDebt|deferredRevenueNonCurrent|deferredTaxLiabilitiesNonCurrent|otherNonCurrentLiabilities|totalNonCurrentLiabilities|otherLiabilities|totalLiabilities|commonStock|retainedEarnings|accumulatedOtherComprehensiveIncomeLoss|othertotalStockholdersEquity|totalStockholdersEquity|totalLiabilitiesAndStockholdersEquity|totalInvestments|totalDebt|netDebt|Date_x|Start Date_x|End Date_x|symbol_y|period_y|netIncome_x|depreciationAndAmortization_x|deferredIncomeTax|stockBasedCompensation|changeInWorkingCapital|accountsReceivables|inventory_y|accountsPayables|otherWorkingCapital|otherNonCashItems|netCashProvidedByOperatingActivities|investmentsInPropertyPlantAndEquipment|acquisitionsNet|purchasesOfInvestments|salesMaturitiesOfInvestments|otherInvestingActivites|netCashUsedForInvestingActivites|debtRepayment|commonStockIssued|commonStockRepurchased|dividendsPaid|otherFinancingActivites|netCashUsedProvidedByFinancingActivities|effectOfForexChangesOnCash|netChangeInCash|cashAtEndOfPeriod|cashAtBeginningOfPeriod|operatingCashFlow|capitalExpenditure|freeCashFlow|Date_y|Start Date_y|End Date_y|symbol|period|revenue|costOfRevenue|grossProfit|grossProfitRatio|researchAndDevelopmentExpenses|generalAndAdministrativeExpenses|sellingAndMarketingExpenses|otherExpenses|operatingExpenses|costAndExpenses|interestExpense|depreciationAndAmortization_y|ebitda|ebitdaratio|operatingIncome|operatingIncomeRatio|totalOtherIncomeExpensesNet|incomeBeforeTax|incomeBeforeTaxRatio|incomeTaxExpense|netIncome_y|netIncomeRatio|eps|epsdiluted|weightedAverageShsOut|weightedAverageShsOutDil|Date|Start Date|End Date
2012-01-03|18.55|18.86|18.48|18.63|41240172|USD|0|CSCO|Q1|4747000000.0|39641000000.0|44388000000.0|4300000000.0|1622000000.0|6957000000.0|57267000000.0|3753000000.0|16823000000.0|2369000000.0|19192000000.0|3209000000.0|2158000000.0|1385000000.0|29697000000.0|6752000000.0|86964000000.0|908000000.0|589000000.0|455000000.0|8444000000.0|7065000000.0|17461000000.0|16264000000.0|3952000000.0|1501000000.0|572000000.0|22289000000.0|26000000.0|39776000000.0|0.001|7910000000.0|981000000.0|38296999999.999|47188000000.0|86964000000.0|42850000000.0|16853000000.0|12106000000.0|2011-10-29|2011-10-29|2012-01-28|CSCO|Q1|1777000000.0|621000000.0|-109000000.0|341000000.0|81000000.0|399000000.0|-168000000.0|36000000.0|39806000000.0|0.0|2333000000.0|-265000000.0|-38000000.0|-13651000000.0|1179000000.0|9584000000.0|-3191000000.0|0.0|203000000.0|-1881000000.0|-322000000.0|-57000000.0|-2057000000.0|0.0|-2915000000.0|4747000000.0|7662000000.0|2333000000.0|265000000.0|2068000000.0|2011-10-29|2011-10-29|2012-01-28|CSCO|Q1|11256000000.0|4366000000.0|6890000000.0|0.6121179815209666|1375000000.0|552000000.0|2452000000.0|1676000000.0|4680000000.0|9046000000.0|148000000.0|621000000.0|2831000000.0|0.25151030561500004|2210000000.0|0.196339729922|35000000.0|2245000000.0|0.199449182658|468000000.0|1777000000.0|0.157871357498|0.33|0.33|5394000000.0|5407000000.0|2011-10-29|2011-10-29|2012-01-28
2012-01-04|18.44|19.0|18.35|18.99|52932880|USD|1|CSCO|Q1|4747000000.0|39641000000.0|44388000000.0|4300000000.0|1622000000.0|6957000000.0|57267000000.0|3753000000.0|16823000000.0|2369000000.0|19192000000.0|3209000000.0|2158000000.0|1385000000.0|29697000000.0|6752000000.0|86964000000.0|908000000.0|589000000.0|455000000.0|8444000000.0|7065000000.0|17461000000.0|16264000000.0|3952000000.0|1501000000.0|572000000.0|22289000000.0|26000000.0|39776000000.0|0.001|7910000000.0|981000000.0|38296999999.999|47188000000.0|86964000000.0|42850000000.0|16853000000.0|12106000000.0|2011-10-29|2011-10-29|2012-01-28|CSCO|Q1|1777000000.0|621000000.0|-109000000.0|341000000.0|81000000.0|399000000.0|-168000000.0|36000000.0|39806000000.0|0.0|2333000000.0|-265000000.0|-38000000.0|-13651000000.0|1179000000.0|9584000000.0|-3191000000.0|0.0|203000000.0|-1881000000.0|-322000000.0|-57000000.0|-2057000000.0|0.0|-2915000000.0|4747000000.0|7662000000.0|2333000000.0|265000000.0|2068000000.0|2011-10-29|2011-10-29|2012-01-28|CSCO|Q1|11256000000.0|4366000000.0|6890000000.0|0.6121179815209666|1375000000.0|552000000.0|2452000000.0|1676000000.0|4680000000.0|9046000000.0|148000000.0|621000000.0|2831000000.0|0.25151030561500004|2210000000.0|0.196339729922|35000000.0|2245000000.0|0.199449182658|468000000.0|1777000000.0|0.157871357498|0.33|0.33|5394000000.0|5407000000.0|2011-10-29|2011-10-29|2012-01-28
2012-01-05|18.93|19.0|18.67|18.92|37865568|USD|2|CSCO|Q1|4747000000.0|39641000000.0|44388000000.0|4300000000.0|1622000000.0|6957000000.0|57267000000.0|3753000000.0|16823000000.0|2369000000.0|19192000000.0|3209000000.0|2158000000.0|1385000000.0|29697000000.0|6752000000.0|86964000000.0|908000000.0|589000000.0|455000000.0|8444000000.0|7065000000.0|17461000000.0|16264000000.0|3952000000.0|1501000000.0|572000000.0|22289000000.0|26000000.0|39776000000.0|0.001|7910000000.0|981000000.0|38296999999.999|47188000000.0|86964000000.0|42850000000.0|16853000000.0|12106000000.0|2011-10-29|2011-10-29|2012-01-28|CSCO|Q1|1777000000.0|621000000.0|-109000000.0|341000000.0|81000000.0|399000000.0|-168000000.0|36000000.0|39806000000.0|0.0|2333000000.0|-265000000.0|-38000000.0|-13651000000.0|1179000000.0|9584000000.0|-3191000000.0|0.0|203000000.0|-1881000000.0|-322000000.0|-57000000.0|-2057000000.0|0.0|-2915000000.0|4747000000.0|7662000000.0|2333000000.0|265000000.0|2068000000.0|2011-10-29|2011-10-29|2012-01-28|CSCO|Q1|11256000000.0|4366000000.0|6890000000.0|0.6121179815209666|1375000000.0|552000000.0|2452000000.0|1676000000.0|4680000000.0|9046000000.0|148000000.0|621000000.0|2831000000.0|0.25151030561500004|2210000000.0|0.196339729922|35000000.0|2245000000.0|0.199449182658|468000000.0|1777000000.0|0.157871357498|0.33|0.33|5394000000.0|5407000000.0|2011-10-29|2011-10-29|2012-01-28
2012-01-06|18.95|19.0|18.83|18.85|27797622|USD|3|CSCO|Q1|4747000000.0|39641000000.0|44388000000.0|4300000000.0|1622000000.0|6957000000.0|57267000000.0|3753000000.0|16823000000.0|2369000000.0|19192000000.0|3209000000.0|2158000000.0|1385000000.0|29697000000.0|6752000000.0|86964000000.0|908000000.0|589000000.0|455000000.0|8444000000.0|7065000000.0|17461000000.0|16264000000.0|3952000000.0|1501000000.0|572000000.0|22289000000.0|26000000.0|39776000000.0|0.001|7910000000.0|981000000.0|38296999999.999|47188000000.0|86964000000.0|42850000000.0|16853000000.0|12106000000.0|2011-10-29|2011-10-29|2012-01-28|CSCO|Q1|1777000000.0|621000000.0|-109000000.0|341000000.0|81000000.0|399000000.0|-168000000.0|36000000.0|39806000000.0|0.0|2333000000.0|-265000000.0|-38000000.0|-13651000000.0|1179000000.0|9584000000.0|-3191000000.0|0.0|203000000.0|-1881000000.0|-322000000.0|-57000000.0|-2057000000.0|0.0|-2915000000.0|4747000000.0|7662000000.0|2333000000.0|265000000.0|2068000000.0|2011-10-29|2011-10-29|2012-01-28|CSCO|Q1|11256000000.0|4366000000.0|6890000000.0|0.6121179815209666|1375000000.0|552000000.0|2452000000.0|1676000000.0|4680000000.0|9046000000.0|148000000.0|621000000.0|2831000000.0|0.25151030561500004|2210000000.0|0.196339729922|35000000.0|2245000000.0|0.199449182658|468000000.0|1777000000.0|0.157871357498|0.33|0.33|5394000000.0|5407000000.0|2011-10-29|2011-10-29|2012-01-28
2012-01-09|18.87|19.1|18.79|18.97|37811416|USD|4|CSCO|Q1|4747000000.0|39641000000.0|44388000000.0|4300000000.0|1622000000.0|6957000000.0|57267000000.0|3753000000.0|16823000000.0|2369000000.0|19192000000.0|3209000000.0|2158000000.0|1385000000.0|29697000000.0|6752000000.0|86964000000.0|908000000.0|589000000.0|455000000.0|8444000000.0|7065000000.0|17461000000.0|16264000000.0|3952000000.0|1501000000.0|572000000.0|22289000000.0|26000000.0|39776000000.0|0.001|7910000000.0|981000000.0|38296999999.999|47188000000.0|86964000000.0|42850000000.0|16853000000.0|12106000000.0|2011-10-29|2011-10-29|2012-01-28|CSCO|Q1|1777000000.0|621000000.0|-109000000.0|341000000.0|81000000.0|399000000.0|-168000000.0|36000000.0|39806000000.0|0.0|2333000000.0|-265000000.0|-38000000.0|-13651000000.0|1179000000.0|9584000000.0|-3191000000.0|0.0|203000000.0|-1881000000.0|-322000000.0|-57000000.0|-2057000000.0|0.0|-2915000000.0|4747000000.0|7662000000.0|2333000000.0|265000000.0|2068000000.0|2011-10-29|2011-10-29|2012-01-28|CSCO|Q1|11256000000.0|4366000000.0|6890000000.0|0.6121179815209666|1375000000.0|552000000.0|2452000000.0|1676000000.0|4680000000.0|9046000000.0|148000000.0|621000000.0|2831000000.0|0.25151030561500004|2210000000.0|0.196339729922|35000000.0|2245000000.0|0.199449182658|468000000.0|1777000000.0|0.157871357498|0.33|0.33|5394000000.0|5407000000.0|2011-10-29|2011-10-29|2012-01-28
2012-01-10|19.08|19.25|18.77|18.83|45488276|USD|5|CSCO|Q1|4747000000.0|39641000000.0|44388000000.0|4300000000.0|1622000000.0|6957000000.0|57267000000.0|3753000000.0|16823000000.0|2369000000.0|19192000000.0|3209000000.0|2158000000.0|1385000000.0|29697000000.0|6752000000.0|86964000000.0|908000000.0|589000000.0|455000000.0|8444000000.0|7065000000.0|17461000000.0|16264000000.0|3952000000.0|1501000000.0|572000000.0|22289000000.0|26000000.0|39776000000.0|0.001|7910000000.0|981000000.0|38296999999.999|47188000000.0|86964000000.0|42850000000.0|16853000000.0|12106000000.0|2011-10-29|2011-10-29|2012-01-28|CSCO|Q1|1777000000.0|621000000.0|-109000000.0|341000000.0|81000000.0|399000000.0|-168000000.0|36000000.0|39806000000.0|0.0|2333000000.0|-265000000.0|-38000000.0|-13651000000.0|1179000000.0|9584000000.0|-3191000000.0|0.0|203000000.0|-1881000000.0|-322000000.0|-57000000.0|-2057000000.0|0.0|-2915000000.0|4747000000.0|7662000000.0|2333000000.0|265000000.0|2068000000.0|2011-10-29|2011-10-29|2012-01-28|CSCO|Q1|11256000000.0|4366000000.0|6890000000.0|0.6121179815209666|1375000000.0|552000000.0|2452000000.0|1676000000.0|4680000000.0|9046000000.0|148000000.0|621000000.0|2831000000.0|0.25151030561500004|2210000000.0|0.196339729922|35000000.0|2245000000.0|0.199449182658|468000000.0|1777000000.0|0.157871357498|0.33|0.33|5394000000.0|5407000000.0|2011-10-29|2011-10-29|2012-01-28
2012-01-11|18.94|19.14|18.87|19.07|32482186|USD|6|CSCO|Q1|4747000000.0|39641000000.0|44388000000.0|4300000000.0|1622000000.0|6957000000.0|57267000000.0|3753000000.0|16823000000.0|2369000000.0|19192000000.0|3209000000.0|2158000000.0|1385000000.0|29697000000.0|6752000000.0|86964000000.0|908000000.0|589000000.0|455000000.0|8444000000.0|7065000000.0|17461000000.0|16264000000.0|3952000000.0|1501000000.0|572000000.0|22289000000.0|26000000.0|39776000000.0|0.001|7910000000.0|981000000.0|38296999999.999|47188000000.0|86964000000.0|42850000000.0|16853000000.0|12106000000.0|2011-10-29|2011-10-29|2012-01-28|CSCO|Q1|1777000000.0|621000000.0|-109000000.0|341000000.0|81000000.0|399000000.0|-168000000.0|36000000.0|39806000000.0|0.0|2333000000.0|-265000000.0|-38000000.0|-13651000000.0|1179000000.0|9584000000.0|-3191000000.0|0.0|203000000.0|-1881000000.0|-322000000.0|-57000000.0|-2057000000.0|0.0|-2915000000.0|4747000000.0|7662000000.0|2333000000.0|265000000.0|2068000000.0|2011-10-29|2011-10-29|2012-01-28|CSCO|Q1|11256000000.0|4366000000.0|6890000000.0|0.6121179815209666|1375000000.0|552000000.0|2452000000.0|1676000000.0|4680000000.0|9046000000.0|148000000.0|621000000.0|2831000000.0|0.25151030561500004|2210000000.0|0.196339729922|35000000.0|2245000000.0|0.199449182658|468000000.0|1777000000.0|0.157871357498|0.33|0.33|5394000000.0|5407000000.0|2011-10-29|2011-10-29|2012-01-28
2012-01-12|19.12|19.2|18.96|19.15|31101676|USD|7|CSCO|Q1|4747000000.0|39641000000.0|44388000000.0|4300000000.0|1622000000.0|6957000000.0|57267000000.0|3753000000.0|16823000000.0|2369000000.0|19192000000.0|3209000000.0|2158000000.0|1385000000.0|29697000000.0|6752000000.0|86964000000.0|908000000.0|589000000.0|455000000.0|8444000000.0|7065000000.0|17461000000.0|16264000000.0|3952000000.0|1501000000.0|572000000.0|22289000000.0|26000000.0|39776000000.0|0.001|7910000000.0|981000000.0|38296999999.999|47188000000.0|86964000000.0|42850000000.0|16853000000.0|12106000000.0|2011-10-29|2011-10-29|2012-01-28|CSCO|Q1|1777000000.0|621000000.0|-109000000.0|341000000.0|81000000.0|399000000.0|-168000000.0|36000000.0|39806000000.0|0.0|2333000000.0|-265000000.0|-38000000.0|-13651000000.0|1179000000.0|9584000000.0|-3191000000.0|0.0|203000000.0|-1881000000.0|-322000000.0|-57000000.0|-2057000000.0|0.0|-2915000000.0|4747000000.0|7662000000.0|2333000000.0|265000000.0|2068000000.0|2011-10-29|2011-10-29|2012-01-28|CSCO|Q1|11256000000.0|4366000000.0|6890000000.0|0.6121179815209666|1375000000.0|552000000.0|2452000000.0|1676000000.0|4680000000.0|9046000000.0|148000000.0|621000000.0|2831000000.0|0.25151030561500004|2210000000.0|0.196339729922|35000000.0|2245000000.0|0.199449182658|468000000.0|1777000000.0|0.157871357498|0.33|0.33|5394000000.0|5407000000.0|2011-10-29|2011-10-29|2012-01-28
2012-01-13|19.01|19.17|18.88|19.06|32145248|USD|8|CSCO|Q1|4747000000.0|39641000000.0|44388000000.0|4300000000.0|1622000000.0|6957000000.0|57267000000.0|3753000000.0|16823000000.0|2369000000.0|19192000000.0|3209000000.0|2158000000.0|1385000000.0|29697000000.0|6752000000.0|86964000000.0|908000000.0|589000000.0|455000000.0|8444000000.0|7065000000.0|17461000000.0|16264000000.0|3952000000.0|1501000000.0|572000000.0|22289000000.0|26000000.0|39776000000.0|0.001|7910000000.0|981000000.0|38296999999.999|47188000000.0|86964000000.0|42850000000.0|16853000000.0|12106000000.0|2011-10-29|2011-10-29|2012-01-28|CSCO|Q1|1777000000.0|621000000.0|-109000000.0|341000000.0|81000000.0|399000000.0|-168000000.0|36000000.0|39806000000.0|0.0|2333000000.0|-265000000.0|-38000000.0|-13651000000.0|1179000000.0|9584000000.0|-3191000000.0|0.0|203000000.0|-1881000000.0|-322000000.0|-57000000.0|-2057000000.0|0.0|-2915000000.0|4747000000.0|7662000000.0|2333000000.0|265000000.0|2068000000.0|2011-10-29|2011-10-29|2012-01-28|CSCO|Q1|11256000000.0|4366000000.0|6890000000.0|0.6121179815209666|1375000000.0|552000000.0|2452000000.0|1676000000.0|4680000000.0|9046000000.0|148000000.0|621000000.0|2831000000.0|0.25151030561500004|2210000000.0|0.196339729922|35000000.0|2245000000.0|0.199449182658|468000000.0|1777000000.0|0.157871357498|0.33|0.33|5394000000.0|5407000000.0|2011-10-29|2011-10-29|2012-01-28
2012-01-17|19.23|19.32|19.11|19.3|40409208|USD|9|CSCO|Q1|4747000000.0|39641000000.0|44388000000.0|4300000000.0|1622000000.0|6957000000.0|57267000000.0|3753000000.0|16823000000.0|2369000000.0|19192000000.0|3209000000.0|2158000000.0|1385000000.0|29697000000.0|6752000000.0|86964000000.0|908000000.0|589000000.0|455000000.0|8444000000.0|7065000000.0|17461000000.0|16264000000.0|3952000000.0|1501000000.0|572000000.0|22289000000.0|26000000.0|39776000000.0|0.001|7910000000.0|981000000.0|38296999999.999|47188000000.0|86964000000.0|42850000000.0|16853000000.0|12106000000.0|2011-10-29|2011-10-29|2012-01-28|CSCO|Q1|1777000000.0|621000000.0|-109000000.0|341000000.0|81000000.0|399000000.0|-168000000.0|36000000.0|39806000000.0|0.0|2333000000.0|-265000000.0|-38000000.0|-13651000000.0|1179000000.0|9584000000.0|-3191000000.0|0.0|203000000.0|-1881000000.0|-322000000.0|-57000000.0|-2057000000.0|0.0|-2915000000.0|4747000000.0|7662000000.0|2333000000.0|265000000.0|2068000000.0|2011-10-29|2011-10-29|2012-01-28|CSCO|Q1|11256000000.0|4366000000.0|6890000000.0|0.6121179815209666|1375000000.0|552000000.0|2452000000.0|1676000000.0|4680000000.0|9046000000.0|148000000.0|621000000.0|2831000000.0|0.25151030561500004|2210000000.0|0.196339729922|35000000.0|2245000000.0|0.199449182658|468000000.0|1777000000.0|0.157871357498|0.33|0.33|5394000000.0|5407000000.0|2011-10-29|2011-10-29|2012-01-28
